label,text,first_col
header,PROPERTY |--| LIMIT | -- |--| -- | UNITS | -- | TEST METHOD,PROPERTY 
irrelevant,|--|  | -- | -- | -- |--| -- |,
irrelevant,1. Appearance: | Clear viscous liquid | -- |--| -- | -- |--| -- |,1. Appearance: 
irrelevant,| free from suspended matters | -- | -- | -- | -- |--| -- |,
solid_content,2.Non Volatile |--| 54 -56 |--|  | -- | % |--| PCPL/FTM/009,2.Non Volatile 
viscosity,3.Viscosity at 40 % |--| 65 -75 |--|  | -- | Sec/B4/30 ÂºC | -- | PCPL/FTM/018,3.Viscosity at 40 % 
irrelevant,in MTO |--|  |--|  | -- |--| -- |,in MTO 
Acid,4.Acid Value |--| 15 max |--|  | -- | mg/KOH/gm |--| PCPL/FTM/005,4.Acid Value 
irrelevant,5 .Colour |--| 7 max |--| -- | -- | Gardner | -- | PCPL /FTM/004,5 .Colour 
specific_gravity,6.Sp.gr at 30C |--| 0.92 -0.94 |--| -- | -- |--| -- | PCPL/FTM/021A,6.Sp.gr at 30C 
Hydroxyl,7..Hydroxyl Value |--| 50-56 |--|  | -- | Mg/KOH /gm | -- | PCPL/FTM/023,7..Hydroxyl Value 
irrelevant,8.MTO Tol |--| No turbity at !:10 MTO | -- | -- |--|  | -- | PCPL/FTM/029,8.MTO Tol 
irrelevant,9.Film test ( Air drying ) | -- |--| -- |--|  |--| -- | PCPL/FTM/003A,9.Film test ( Air drying ) 
irrelevant,Method of film | checking : |--|  |--| -- |--|  |,Method of film 
irrelevant,Mix in the following proportions and adjust visc to 50-60sec/B4/30*C with MTO | -- | -- | -- | -- | -- | -- | -- | --,Mix in the following proportions and adjust visc to 50-60sec/B4/30*C with MTO 
irrelevant,"and allow to mature for overnight. Pour the mixture on a clean ,dry glass plate and .. | -- | -- | -- | -- | -- | -- | -- | --","and allow to mature for overnight. Pour the mixture on a clean ,dry glass plate and .. "
irrelevant,allow to dry vertically. | -- |--| -- |--| -- |--|  |,allow to dry vertically. 
irrelevant,"and allow to mature for overnight. Pour the mixture on a clean ,dry glass plate and | -- | -- | -- | -- | -- | -- | -- | --","and allow to mature for overnight. Pour the mixture on a clean ,dry glass plate and "
irrelevant,allow to dry vertically. | -- |--| -- |--| -- |--| -- |,allow to dry vertically. 
irrelevant,Assess drying characteristics as per std. procedure. | -- | -- | -- | -- |--|  | -- |,Assess drying characteristics as per std. procedure. 
irrelevant,Resin | 60.0 gm |--| -- | Surface dry | -- | 1 hr max | -- |,Resin 
irrelevant,"CO ( 3 %) | 1.0 gm |--| -- | Tack free | -- | 4 hrs , max |--|",CO ( 3 %) 
irrelevant,Zir (6%) | 1.0 gm |--|  | Hard dry | -- | O/N |--|,Zir (6%) 
irrelevant,Calcium (2%) | 1. gm |--|  |--| -- |--|  |,Calcium (2%) 
irrelevant,MTO to adujust visc | -- |--|  |--| -- |--| -- |,MTO to adujust visc 
irrelevant,10.Flash Point |--| 34 |--|  | -- | ÂºC | -- | PCPL/FTM/006,10.Flash Point 
irrelevant,|--|  |--|  | -- |--| -- |,
irrelevant,|--|  | -- |--| -- |--| -- |,
irrelevant,| Mesh ASTM | Size Micron |--|  | Method,
irrelevant,Percentage Retained on Individual Sieve | 100 | 150 | - | % | Dry Sieve,Percentage Retained on Individual Sieve 
irrelevant,-- | 200 | 75 | - | % | --,-- 
irrelevant,-- | 325 | 45 | - | % | --,-- 
irrelevant,-- | 400 | 38 | - | % | --,-- 
irrelevant,-- | 450 | 32 | 0.01 | % | --,-- 
irrelevant,-- | 625 | 20 | 0.3 | % |,-- 
particle_size_d90,"Particle Size, D90 |--|  | 15.1 | Î¼m |","Particle Size, D90 "
particle_size_d50,"Average Particle Size, D50 |--|  | 5.0 | Î¼m |","Average Particle Size, D50 "
particle_size_d10,"Particle Size, D10 |--|  | 1.2 | Î¼m |","Particle Size, D10 "
irrelevant,"Powder Brightness (ISO) |--|  | 87.0 |--| Spectrophotometer, CM-2500d",Powder Brightness (ISO) 
irrelevant,Oil Absoprtion |--|  | 25.8 | g/100gms | ISO 787-5,Oil Absoprtion 
irrelevant,Electrical Conductivity |--|  | 210 | ÂµS/cm |,Electrical Conductivity 
specific_gravity,Specific Gravity | -- |--| 2.61 | g/cm3 |,Specific Gravity 
irrelevant,Moisture Content | -- |--| 0.2 | % | ASTM C-566,Moisture Content 
density,"Bulk Density, loose | -- | -- | 0.43 | g/cm3 | ISO 787-11","Bulk Density, loose "
irrelevant,Hardness | -- | -- | 6.0 | Mohs |,Hardness 
ph,pH (20% slurry) | -- | -- | 10.1 | - | ISO 787-9,pH (20% slurry) 
irrelevant,SiO2 | 66.99 | %,SiO2 
irrelevant,Al2O3 | 17.63 | %,Al2O3 
irrelevant,K2O | 11.50 | %,K2O 
irrelevant,Na2O | 3.12 | %,Na2O 
irrelevant,CaO | 0.21 | %,CaO 
irrelevant,MgO | 0.11 | %,MgO 
irrelevant,Fe2O3 | 0.04 | %,Fe2O3 
irrelevant,TiO2 | 0.03 | %,TiO2 
irrelevant,L.O.I (1000Â°C) | 0.37 | %,L.O.I (1000Â°C) 
irrelevant,fastness to solvents butyl acetate | ethanol | methylethyl ketone | water,fastness to solvents butyl acetate 
irrelevant,1 | 1 â€“ 2 | 1 | 5,1 
irrelevant,white spirit | xylene |--|,white spirit 
irrelevant,4 â€“ 5 | 1 |--|,4 â€“ 5 
irrelevant,suitability for industries | -- | -- | -- | -- | --,suitability for industries 
irrelevant,automotive | general industrial | coil | powder | wood | decorative,automotive 
irrelevant,O | O | O | O |--| O,O 
irrelevant,explanation of symbols suitable O potentially suitable O not suitable | -- | -- | -- | -- | --,explanation of symbols suitable O potentially suitable O not suitable 
header,Property | Range | Unit | GAP,Property 
irrelevant,Appearance | White translucent liquid | -- | 0059,Appearance 
solid_content,Total solids w/w | 38.0 â€“ 40.0 | % | 0001,Total solids w/w 
ph,pH | 6.5 â€“ 8.0 |--| 0016,pH 
viscosity,Visc. Brookfield 25 C | Max. 400 | mPa.s | 0020,Visc. Brookfield 25 C 
header,Property | Value | Unit | GAP,Property 
mfft,MFFT | 60 | O C | 0011,MFFT 
density,Density 20 C O | Â± 1.04 | Kg/L | 0006,Density 20 C O 
irrelevant,Free monomer | Max. 250 | ppm | 0118,Free monomer 
irrelevant,Neutralizing agent triethylamine | Â± 0.9 | % |,Neutralizing agent triethylamine 
irrelevant,VOC (theoretical) | Â± 1 | % |,VOC (theoretical) 
