text,label
Cu/Zn alloy,irrelevant
Product denomination: | Aluminium Paste STAPA Metallux 1580,irrelevant
-Resin Coated Grade .. |  | contnu ). | gravity. | W.C.A | Whiteness | :IV. | SV .. | FF,irrelevant
Stearic Acid. | <3,irrelevant
WATER SOLUBILITY: | Practically insoluble | Practically insoluble,irrelevant
"Particle Size (microns): | 17
51.8% by volume",Particle size
"9 | Nickel | < 0,008 * | % | TI0091",irrelevant
Non-leafing aluminium paste for solvent-borne systems,Aluminium Type
Particle Size (microns): | 20,Particle size
Article number: | 13527..,irrelevant
Article number: | 40075..,irrelevant
• | Pigment morphology: Cornflake,Particle Shape
Non-Volatile Content--------------------68%(±2%) | by weight | by weight,irrelevant
Pigment morphology: Cornflake,Particle Shape
• | Surface treatment: Silica,Pigment Treatment
"Volatile content | 36,00 Max | % | TE MA n°194",irrelevant
"Moisture, % | 0.15 max",irrelevant
"TI00004 volatile content | 38,0 - 42,0 | %",irrelevant
test criteria | nominal | unit | Test method,header
Non-Volatile Content ..................59.0~61.0% (± 2.0%) by weight,irrelevant
TI00001 2-coat lacquer | O.K. | ,irrelevant
Solid content: | approx. 65 %,irrelevant
draw down wire rod cellulose lacquer | i. O. |  | 4C.5101.1,irrelevant
• | Corn flake geometry,Particle Shape
"6) SOLVENT CONTENT | 36,00 %",irrelevant
"TI00009 D 90 | 44,0 - 52,0 | um",Particle size
Oil Absorption: | 60-80 g oil/100g powder | GB 5211.15-88,irrelevant
material-no. | 057300G60,irrelevant
50 | :unselected:,irrelevant
Product denomination: | Aluminium Paste STAPA IL Hydrolan 501 No. 55900/G,irrelevant
"Typical Analysis: | silica encapsulation
max. 1,0 %",irrelevant
"Screen Analysis (325 mesh), | 0.1 Maximum",Particle size
Density (g/cm3 | 3.8 - 4.2,irrelevant
Product description: | Aluminium pigment paste-non leafing,Aluminium Type
Film condition | No remarkable difference from the std | Maker's method (T-7324),irrelevant
"Storage To ensure maximum stability, the powder should be stored in closed containers under dry conditions at temperatures below 25 ℃. Consult the appropriate MSDS for further instructions.",Supply Form
Solvent | S-100 | - | -,irrelevant
Non-volatile content (inhibited aluminium pigment; minimum) | 49.0%,irrelevant
"Description: | Aluminium Flake pasted with long chain high boiling alcohol. For mixing with
ink medium to make silver ink.",irrelevant
"14 | Zinc | < 0,050 * | % | 6C.0011.0",irrelevant
Weight Volume (kgs/liter) | 1.47,irrelevant
"Description: Non leafing, Metallic Sparkle Paste",Aluminium Type
Coarse Non- Leafing | Shell SOL A150 | 65 | 2.0 max | 4 | - | - | 0.20 | 1.48 |  | Marine paints. Large particalised. | 12 months from date of manufacture,multi
Surface treatment: | Silica,Pigment Treatment
"Medium fine non-leafing aluminium powder, granulated",Aluminium Type
"Screen analysis, 45μm | 0.1 or less",Particle size
Screen Analysis | 99.90% minimum through 325 mesh,Particle size
Screen analysis: (80mesh <%) | Non,Particle size
"TI00005 sieving < 45 µm | 99,8 - 100,0 | %",Particle size
LEAFING | little | ,Aluminium Type
"Average particle size of base
μm | 18",Particle size
"TI00005 sieving < 45 µm | 99,0 - 100,0 | %",Particle size
Pigment morphology: Cornflake,Particle Shape
Specific gravity： | 1.15g/cm³,irrelevant
Non-Volatile By Volume (Calculated) | 35.1% by volume,irrelevant
"Aluminium flake | 62,00 App. | % | ",irrelevant
"Full shade DHab | 0,00 | 1,70 |  | MH03",irrelevant
INDICATIVE VALUES,irrelevant
Specific gravity | (by calculation) | 1.5,irrelevant
Aromatic Spirits | 25.0%,irrelevant
"D 10
:unselected: | app. 11 * | µm | 3C.7003.0",Particle size
Average Particle Size(±1.5u) | 19 | Not Standard,Particle size
"Product Name | Non-Leafing type Aluminium Paste
CFE128N",Aluminium Type
Non-Volatile By Weight (Target) | 65% by weight,irrelevant
"TI00000 Solid- / pigment content | 9,95 - 10,15 | %",Pigment Content
"Screen Analysis-----------------------≥99.90% | minimum through
(wet method)",Particle size
• | “Silver Dollar” flake geometry,Particle Shape
"2-coat lacquer | 11
OK |  | 3C.0001.0",irrelevant
98.5 minimum by weight,irrelevant
"Residue on sieve 45 um1); | max. 1,0 %",Particle size
[microns]: | 12.0,Particle size
130N | 65 | 70 | 21000 | 1.0 | 19 | HA | HA | HA,irrelevant
material description | Flake metal powder based on a copper-zinc-alloy,irrelevant
Non-Volatile Content--------------------55%(±2%) by weight,irrelevant
Product Code: | 18C,irrelevant
Wet sieving (DIN 53196) passing 40 µm | >=99.8 | % | 3C.0013.0,Particle size
"14 | Zinc | < 0,040 * | % | TI0097",irrelevant
Weight Volume (lbs/gallon): | 12.16,irrelevant
Technical features: | Typical analysis: | Test method:,header
Shelf Life | 12 months,irrelevant
