text,label
9.5 | < 250 | < 0.15 | 0.7 | 0.1 | 250 | 27 | 80,multi
Conductex 7093 | 75 | 73 | 140 | - | 98 | - | China,multi
"713/R008 | OAN | ml/100 g | 47,0 (41,0 - 53,0)",Oil Absorption
Size): | -325目（-45um）≥80%,irrelevant
Fastness to alkalis | 5,irrelevant
pH Value | Reference,pH
Raven 35001 | 375 | 212 | 105 | 105 | 145 | 5.0 | U.S.,multi
OAN (ml/100gm) | 116 | D-2414,Oil Absorption
灰 份(Ash Content )≤8.3%,irrelevant
1) Only available as powder 2) Only available as beaded Specialty Carbon Black 7) Volatile Matter 105 °C approx. 7.5 %,Supply Form
COAN | (ml/100 g) | 85 ± 5 | ASTM D3493,Oil Absorption
"U.S.
Plastic color concentrate for film and molding; blue undertone and tinting in coatings | :unselected:",irrelevant
"Polyolefines PE, PP, Copo | Biopolymers PLA | Styrene Polymers PS, SAN, ABS, ASA | Polyamides PA6, PA6.6, PA12 | Polyesters PET, PBT | Polyvinylchlorides PVC-P, PVC-U | Engineered Polymers PMMA, PC, Blends | Thermosets UP, EP |  | Insulation & Foams EPS, PUR, PP, PE | Wire & Cables PE-Copo | Pipes PE, PP, PA, PVC | Films PE, PP, Copo, PVC | Fibres PET, PA, PP | Adhesive & Sealants PUR, PIB, Polysulfide, Silicons, MS Polymers | Masterbatches & Compounds | Masterbatches & Compounds",irrelevant
chemical nature chemische Struktur | carbon black Farbruß,irrelevant
Tinting Strength (Mfr. Std.) | D-387,irrelevant
Average Original Particle Size (nm) | 8 ± 2,irrelevant
FarbruB FW 200 gep. | Colour Black FW 200 beads | HCC |  | 112 | 20 | 2.5 |  | ,multi
"Raven® 760 Ultra® | 64 | 64 | 48 | 50 | 102 | - | NA | High quality inks including heatset, sheet fed, other inks & coating applications.",multi
PRINTEX® V1) | RCG | 246 | 112 | 5 | 115 | 4.5 | 0.02 | 92 | 25 |  |  |  | :selected: |  | :selected: |  |  |  | :selected: | :selected: | ,multi
"713/R043 | ____________________________________________________________________
Rel. blackness value MYr to the basic group stand. | % | 98,5 (94,5 - 102,5)",My
pH | ASTM D1512 | - | 8.0 - 10.0,pH
N | 0.02%,irrelevant
SPECIAL BLACK 1001) | LCF | 217 | 60 | 1.6 | 100 | 3.3 | 0.10 | 35 | 51 |  |  |  | :selected: |  | :selected: |  |  |  | :selected: |  | :selected:,multi
"AUS | Australian Standard 2070.6-1995 | X
:selected:
:unselected: | X
:selected:
:unselected: | X
:selected:
:unselected:",irrelevant
"pH-Wert pH Value | pH-Wert pH Value | 9,5 | 9 | 9,5 | 9 | 8 | 9,5 | 9,5 | 9 | 8,7 | 10 | 10",pH
MOISTURE | % | D-1509 | 0 | 3,irrelevant
Specific Surface Area (m²/g) | 44.0,Specific surface area
%Volatile | %Volatile | 0.6 | MOIS | E4-7,irrelevant
Properties and Test Methods | Properties and Test Methods | Units | Typical Values | Typical Values,header
"Tint Strength, IRB=100% | % | ASTM D3265 | 59,0 | 65,0 | 71,0",irrelevant
"DATE | 2012-05-25 | NET WEIGHT | 5,200.00KG",irrelevant
Physical Form - Beads or Powder,Supply Form
5 | Loss on Heating | % | Max.3.0,irrelevant
Raven 2900 Ultra | 254 | 215 | 65 | 67 | 145 | - | Korea,multi
Inorganic Materials IM-CB-PI-AT (913-302) www.evonik.com/carbon-black-pigments,Chemical Nature
