text,label
"{'data': '19140 : 1 | Pigment Yellow 100 | E 102 | 12225 - 21 - 7 | 235 - 428 - 9 <header> <CI No:> | <CI Name:> | <EC No:> | <CAS No:> | <Einecs No:> </header>', 'label': [[0, 5, 'qualitative_value'], [12, 30, 'qualitative_value']]}",Color
"{'data': '1 ) Spectrophotometric Reflectance Report | | QA/ 343 <header> <Test property> | <Specification> | <Test Method> </header>', 'label': []}",irrelevant
"{'data': 'Metal - complexed dyes solution in organic solvents.', 'label': [[35, 42, 'qualitative value']]}",Chemical Nature
"{'data': 'Acid Resistance | A <header> <Type> | <Level> </header>', 'label': []}",irrelevant
"{'data': 'PROPERTY | TOLERANCE | LIGHT | HEAT <header> <PROPERTY> | <TOLERANCE> | <LIGHT> | <HEAT> </header>', 'label': []}",header
"{'data': 'reduc - tion | 4', 'label': []}",irrelevant
"{'data': 'Solid content : | 10 % ± 2', 'label': []}",irrelevant
"{'data': 'ball - point inks flexographic/gravure inks ink - jet inks | ball - point inks flexographic/gravure inks ink - jet inks | solvent - based wood stains | transparent coatings <header> < 2.5 % dye> | < 1.0 % dye> | <transmittance> | <> </header>', 'label': []}",irrelevant
"{'data': 'CI Name | Solvent Yellow 82', 'label': [[10, 27, 'qualitative_value']]}",Color
"{'data': 'Molecular Wt: | 414.40', 'label': []}",irrelevant
"{'data': 'Appearance: | Fine Black Powder', 'label': []}",irrelevant
"{'data': 'C.I. No.:Solvent Black 27 / C.I Constitution No.:NA CAS No.: 12237 - 22 - 8', 'label': [[9, 25, 'qualitative_value']]}",Color
"{'data': 'Appearance: | Powder', 'label': [[14, 20, 'qualitative value']]}",Supply Form
"{'data': 'EC Name: | Sunset Yellow FCF', 'label': []}",irrelevant
"{'data': 'density ( 20 ℃ [ 68 ºF ] ) | 1.60 g/cm 3', 'label': []}",irrelevant
"{'data': 'paraffin | soap | sodium hydroxide | water <header> < 2.5 % dye> | < 1.0 % dye> | <transmittance> | <> </header>', 'label': []}",irrelevant
"{'data': '4 ) | Ethyl cellosolve / Ethyl glycol | 370', 'label': []}",irrelevant
"{'data': 'physical data of the dye density ( 20 °C [ 68 °F ] ) 1.03 g/cm³ | pH ~ 6 | solids content ~ 24 % | main solvent methoxy propanol ( MP ) <header> <Colour Index> | <Acid Brown 282 | –> | <> | <> </header>', 'label': []}",irrelevant
"{'data': 'fastness properties | fastness properties | | | | <header> <fields of applications ball - point inks flexographic/gravure inks> <fields of applications ball - point inks flexographic/gravure inks> <> | <fields of applications ball - point inks flexographic/gravure inks> <fields of applications ball - point inks flexographic/gravure inks> <> | <fields of applications ball - point inks flexographic/gravure inks> <fields of applications ball - point inks flexographic/gravure inks> <> | <> <ink - jet inks> <O > | <> <solvent - based wood stains> < > | <transparent coatings> <solvent - based wood stains> < > </header>', 'label': []}",irrelevant
"{'data': 'Product Code: | D - 098', 'label': []}",irrelevant
"{'data': 'Tel: 800 - 910 - 5592 | Tel: 32 - 9 - 265 - 1100 | Tel: 55 - 11 - 3043 - 7942 | Tel: 52 - 55 - 3088 3600 | Tel: 65 - 6377 - 0770 | Tel: 86 - 21 6145 - 5555 | Tel. 91.20.6730.7501 <header> <NORTH AMERICA> | <EUROPE> | <LATIN AMERICA> | <LATIN AMERICA> | <ASIA> | <ASIA> | <ASIA> </header>', 'label': []}",irrelevant
"{'data': 'NORTH AMERICA | EUROPE | LATIN AMERICA | LATIN AMERICA | ASIA | ASIA | ASIA <header> <NORTH AMERICA> | <EUROPE> | <LATIN AMERICA> | <LATIN AMERICA> | <ASIA> | <ASIA> | <ASIA> </header>', 'label': []}",irrelevant
"{'data': 'Light fastness | ( 4 / 5 ) of blue for wool scale', 'label': [[30, 49, 'measuring_condition'], [19, 20, 'min'], [23, 24, 'max']]}",Light Fastness
"{'data': 'ABS: | YES | 3 - 4 | 4 <header> <POLYMER> | <FASTNESS> | <LIGHT> | <PROPERTIES HEAT> </header>', 'label': []}",irrelevant
"{'data': 'Density | | [ g/cm 3 ] | 1.40 <header> <Density> | <> | < [ g/cm 3 ] > | < 1.40 > </header>', 'label': []}",irrelevant
"{'data': 'Sublimation: | 310 C. O', 'label': []}",irrelevant
"{'data': 'Moisture | 3.0 % max', 'label': []}",irrelevant
"{'data': 'Solubility Data of Colorant | | <header> <Light fastness on Printed wet film> | <NC/alcohol> | <Vinyl/ketone> </header>', 'label': []}",irrelevant
"{'data': 'Resistance | NC/Alcohol | Vinyl/ketone <header> <Light fastness on Printed wet film> | <NC/alcohol> | <Vinyl/ketone> </header>', 'label': []}",irrelevant
"{'data': 'RIGID PVC: | YES 6 - 7 5 | Oil Absorption: | Not applicable <header> <IDENTIFICATION INFORMATION> <Product Name: Product Code: C.I. Name: C.I. Number: HUE:> | <IDENTIFICATION INFORMATION> <Potomac Yellow D - 838 Solvent Yellow 160 : 1 Not listed Red shade Yellow> | <CHEMICAL STRUCTURE> <STRUCTURE NOT DISCLOSED> | <CHEMICAL STRUCTURE> <STRUCTURE NOT DISCLOSED> </header>', 'label': []}",Oil Absorption
"{'data': '5 ) Conductivity ( µS/cm ) | ≤ 150 | QA/ 312 <header> <Test property> | <Specification> | <Test Method> </header>', 'label': []}",irrelevant
"{'data': 'Specific Gravity: | 1.20', 'label': [[20, 24, 'mean']]}",irrelevant
"{'data': 'Butter | 4 – 5 | 5 <header> <Light fastness on Printed wet film> | <NC/alcohol> | <Vinyl/ketone> </header>', 'label': []}",irrelevant
"{'data': '0.001 % maximum Lead ( as Pb ) : | ......', 'label': []}",irrelevant
"{'data': 'ACRYLIC: | NO | 0 | 0 <header> <POLYMER> | <FASTNESS> | <LIGHT> | <PROPERTIES HEAT> </header>', 'label': []}",irrelevant
"{'data': 'Toluene | 49', 'label': []}",irrelevant
"{'data': 'POLYCARBONATE: | YES | 6 | 0 <header> <POLYMER> | <FASTNESS> | <PROPERTIES LIGHT HEAT> | <PROPERTIES LIGHT HEAT> </header>', 'label': []}",irrelevant
"{'data': 'pH value | 6.2 ± 10 %', 'label': []}",irrelevant
"{'data': ' | Citric acid | 5 | 5 <header> <General> | <jet applications.> | <> | <> </header>', 'label': []}",irrelevant
"{'data': '5 ) | Methyl ethyl ketone | 130', 'label': []}",irrelevant
"{'data': 'NOTE: These typical values should not be interpreted as specifications.', 'label': []}",irrelevant
"{'data': 'd. Specific Gravity ( water = 1.00 ) | 0.97 - 0.99 | 0.97 - 0.99 <header> <a. Chemical Class Monoazo Chromium Complex Dye> <b. Moisture Content Less than 1 % > | <a. Chemical Class Monoazo Chromium Complex Dye> <b. Moisture Content Less than 1 % > | <a. Chemical Class Monoazo Chromium Complex Dye> <b. Moisture Content Less than 1 % > </header>', 'label': []}",irrelevant
"{'data': '1 ) | Ethanol | 380', 'label': []}",irrelevant
"{'data': 'Chemical Classification | : 1 : 2 Metal Complex Solvent Dye', 'label': []}",irrelevant
"{'data': 'Mercury ( as Hg ) : | 0.0001 % maximum', 'label': []}",irrelevant
"{'data': 'fastness properties | | | | <header> <fields of applications ball - point inks flexographic/gravure inks ink - jet inks solvent - based wood stains transparent coatings O > | <fields of applications ball - point inks flexographic/gravure inks ink - jet inks solvent - based wood stains transparent coatings O > | <fields of applications ball - point inks flexographic/gravure inks ink - jet inks solvent - based wood stains transparent coatings O > | <fields of applications ball - point inks flexographic/gravure inks ink - jet inks solvent - based wood stains transparent coatings O > | <fields of applications ball - point inks flexographic/gravure inks ink - jet inks solvent - based wood stains transparent coatings O > </header>', 'label': []}",Fastness
"{'data': 'Resistance Properties', 'label': []}",irrelevant
"{'data': 'Standard item : 0315535', 'label': []}",irrelevant
"{'data': 'bulk volume | ~ 2.8 l/kg', 'label': []}",irrelevant
