text,label
"{'data': 'Name: | D.E.R.™ 664 HA EPOXY RESIN', 'label': [[8, 34, 'qualitative_value']]}",Chemical name
"{'data': 'CAS number | 68649 - 95 - 6', 'label': [[13, 27, 'qualitative_value']]}",CAS Number
"{'data': 'Titre | °C | 25 | 29 | AOCS Tr 1 a - 64 /ISO 935 <header> <Test Description> <> | <> | <Limit> <Min> | <Reference Test Method> <Max> | <Reference Test Method> <> </header>', 'label': []}",irrelevant
"{'data': 'Pentaerythritol mono grade ( Penta mono ) is a Polyhydric alcohol. It has a unique structure with four equally reactive primary hydroxyl groups in a symmetrical molecular structure. This makes Penta Mono a desirable base polyol and building block for a variety of applications. <label>', 'label': [[47, 65, 'qualitative_value'], [279, 284, 'chemical_name']]}",Chemical name
"{'data': 'Carboxylated polyester resin designed to make it most suitable to meet the requirements of hybrid powder paint system. A high performance package resin having the correct reactivity to achieve the required specifications of mechanical properties, excellent flow and over baking resistance. <label>', 'label': [[0, 28, 'qualitative_value'], [291, 296, 'chemical_name']]}",Chemical name
"{'data': 'Molecular Weight: | 210.14', 'label': []}",irrelevant
"{'data': 'Freezing Point, ºF ( ℃ ) | 41 ( 5 )', 'label': []}",irrelevant
"{'data': 'Viscosity @ 25 ℃, Stokes |', 'label': []}",irrelevant
"{'data': 'Unsaponifiable matter content % ≤ | Unsaponifiable matter content % ≤ | Unsaponifiable matter content % ≤ | 5 | | 5 | | 6 | <header> <Items> <Color> | <> <Hue> | <> <Hue> | <X> <pale yellow> | <ww> <slight yellow> | <WG> <Yellow> | <N> <deep yellow> | <M> <Yellow brown> | <K> <yellow red> </header>', 'label': []}",irrelevant
"{'data': 'SP - 070 is a high flow 100 % solids carboxyl functional polyester resin designed as a 60 / 40 hybrid. When properly formulated, SP - 070 gives an attractive balance of flow, gloss and chemical resistance. <label>', 'label': [[14, 72, 'qualitative_value'], [207, 212, 'chemical_name']]}",Chemical name
"{'data': 'Pour point °C | Pour point °C | - 10 | <header> <PROPERTIES> | <PROPERTIES> | <TYPICAL> | <SPECIFICATIONS> </header>', 'label': []}",irrelevant
"{'data': 'Typical properties | Typical properties', 'label': []}",irrelevant
"{'data': 'Iodine Value | 60 - 85', 'label': []}",irrelevant
"{'data': 'Acid value | 0.1 - 0.3', 'label': [[13, 16, 'min'], [19, 22, 'max']]}",Acid content
"{'data': 'Conjugated | % | 40 : 45 | DGF - C - VI 11 e <header> <Analyte Name> | <Unit> | <Limits> | <Method of Analysis> </header>', 'label': []}",irrelevant
"{'data': 'Self ignition temperature | °C | ca. 345 | | <header> <CHARACTERISTICS ( CoA ) > | <UNITS> | <VALUES> | <> | <METHODS> </header>', 'label': []}",irrelevant
"{'data': 'IP 4130 is an “all IPA” polymer designed for use in high durability Primid systems at a mixing ratio of 96 : 4 PE:Primid. IPU 4130 is IP 4130 Produced by Cytec in the USA <label>', 'label': [[14, 31, 'qualitative_value'], [172, 177, 'chemical_name']]}",Chemical name
"{'data': ""225 kg net galvanized iron drum | 21.6 mt ( 96 drums ) | <header> <Package> | < 20 'FCL load> | < 20 'FCL palletized> </header>"", 'label': []}",irrelevant
"{'data': 'CAS N°: 8001 - 26 - 1 EINECS N°: 232 - 278 - 6 INCI NAME: Linseed oil ORIGIN: vegetable', 'label': [[8, 21, 'qualitative_value']]}",CAS Number
"{'data': 'Acid Number |', 'label': []}",Acid content
"{'data': 'Acid Value ( Max. ) | 1 - 3 | 1 - 3 | 1 - 3 <header> <> | <OKO> <M - 7 1 / 2 > | <OKO M - 17 > <M - 7 1 / 2 > | <OKO> <M - 25 > </header>', 'label': [[22, 23, 'min'], [26, 27, 'max'], [30, 31, 'min'], [34, 35, 'max'], [38, 39, 'min'], [42, 43, 'max']]}",Acid content
"{'data': 'GH - 2240 is a saturated carboxylated polyester resin designed for 93 / 7 TGIC powders to be cured at 200 °C. Coatings based on GH - 2240 combine a excellent flow, and good outdoor durability. <label>', 'label': [[15, 53, 'qualitative_value'], [194, 199, 'chemical_name']]}",Chemical name
"{'data': '4 | Iodine Value ( Wijs ) | 84.56 | 82 - 90 <header> <Sr. No.> | <Tests Conducted> | <Test Value> | <Specifications> </header>', 'label': []}",irrelevant
"{'data': '9 | Specific Gravity @ 25 ℃ | 0.9581 | 0.957 - 0.961 <header> <Sr. No.> | <Tests Conducted> | <Test Value> | <Specifications> </header>', 'label': []}",irrelevant
"{'data': ' | <header> <> | <> </header>', 'label': []}",irrelevant
"{'data': 'ASSAY | 99.5 – 101.0 PERCENT <header> <Product Information Formula Product Information Formula Formula> | <H 3 C 6 H 5 O 7,H 2 O> </header>', 'label': []}",irrelevant
"{'data': 'Specification | | Minimum | Maximum <header> <Specification> | <> | <Minimum> | <Maximum> </header>', 'label': []}",header
"{'data': 'Color, Gardner ( 5 ) | 7 | 8 Maximum <header> <PROPERTIES> | <TYPICAL> | <SPECIFICATIONS> </header>', 'label': []}",irrelevant
"{'data': 'Gardner Color ( 1 ) | 7 max. | ABNT - NBR - 9389 <header> <Physical and Chemical Data> <Analyzed Parameter> | <Physical and Chemical Data> <Specifications> | <Physical and Chemical Data> <Reference> </header>', 'label': []}",irrelevant
"{'data': 'Analyzed Parameter | Specifications | Reference <header> <Physical and Chemical Data> <Analyzed Parameter> | <Physical and Chemical Data> <Specifications> | <Physical and Chemical Data> <Reference> </header>', 'label': []}",header
"{'data': 'Softening point ( R&B, deg C ) | 76.0 min. | 76.0 min. | 75.0 min. <header> <GUM ROSIN> | <X GRADE> | <WW GRADE> | <WG GRADE> </header>', 'label': []}",irrelevant
"{'data': 'Specification: | | | According to: <header> <Specification:> | <> | <> | <According to:> </header>', 'label': []}",irrelevant
"{'data': 'Oxalate | Passes Test <header> <Product Information Formula Product Information Formula Formula> | <H 3 C 6 H 5 O 7,H 2 O> </header>', 'label': []}",irrelevant
"{'data': 'Polybasic Acids, % , HPLC AOCS Tf 5 - 91 | 1 - 5 <header> <Acid Value, AOCS Te 1 a - 64 > | <min. 190 Clear liquid> </header>', 'label': [[0, 15, 'measuring_condition'], [17, 18, 'unit'], [21, 40, 'method'], [43, 44, 'min'], [47, 48, 'max']]}",Acid content
"{'data': 'ADDITOL® P 890 is a flow promoter masterbatch for use in indoor and outdoor clear powder coatings. ADDITOL® P 890 contains approximately 10 % active ingredient in a hydroxylated polyester carrier. The addition of 7 - 8 % in a powder formulation is suggested. <label>', 'label': [[20, 45, 'qualitative_value'], [260, 265, 'chemical_name']]}",Chemical name
"{'data': '21 - 10 - 10 | Girish Patel | Yogesh Panchal | Yogesh Panchal <header> <Sr. No.> | <Tests Conducted> | <Test Value> | <Specifications> </header>', 'label': []}",irrelevant
"{'data': '* Ester Value | mg KOH/g | | 4 | ISO 3657 ( 1988 ) <header> <Test Description> <> | <> | <Limit> <Min> | <Reference Test Method> <Max> | <Reference Test Method> <> </header>', 'label': []}",irrelevant
"{'data': 'Analytical Methods', 'label': []}",irrelevant
"{'data': ""Standard | Storage | Storage <header> <Package> | < 20 'FCL load> | < 20 'FCL palletized> </header>"", 'label': []}",irrelevant
"{'data': '20 Poise | max 5 | max 10 | 120 - 140 | ± 0,957 | 190 - 205 | 19 - 21 <header> <VISCOSITY> | <COLOUR ( Gardner ) > | <ACID Value> | <IODINE Value> | <Relative DENSITY ( 20 °C ) > | <SAPONIFI - CATION Value> | <VISCOSITY ( Poise 20 °C ) > </header>', 'label': [[23, 25, 'max']]}",Acid content
"{'data': 'CRYLCOAT® ( Formerly CRYLCOAT® E 02123 ) Superdurable Polyester Resin <label>', 'label': [[54, 69, 'qualitative_value'], [71, 76, 'chemical_name']]}",Chemical name
"{'data': '1 ” cell, Y + 5 R Basis | 2.2 Y, 0.3 R max', 'label': []}",irrelevant
"{'data': 'Saturated carboxylated polyester for combination with Triglycidylisocyanurate. Suitable for the formulation of outdoor durable and protective thermosetting powders for electrostatic application. High reactivity with good flexibility. TMA free type. <label>', 'label': [[0, 32, 'qualitative_value'], [250, 255, 'chemical_name']]}",Chemical name
"{'data': 'Chemical name : | SUNFLOWER OIL FATTY ACIDS, DISTILLED', 'label': []}",Chemical name
"{'data': 'RP 6732 is a medium to high reactive carboxyl functional polyester resin for use with Epoxy resins in a 60 / 40 ratio to manufacture hybrid powder coatings. RP 6732 is tribo enhanced. <label>', 'label': [[13, 72, 'qualitative_value'], [185, 190, 'chemical_name']]}",Chemical name
"{'data': 'SP - 033 a high flow 100 % solids carboxyl functional polyester resin designed as a 93 / 7 TGIC. When properly formulated, SP - 033 gives an attractive balance of flow, gloss and weathering resistance. <label>', 'label': [[11, 69, 'qualitative_value'], [203, 208, 'chemical_name']]}",Chemical name
"{'data': 'IPT - 4160 Type: Saturated Carboxylated Polyester Resin <label>', 'label': [[17, 55, 'qualitative_value'], [57, 62, 'chemical_name']]}",Chemical name
"{'data': 'UNSAPONIFIABLE MATTER | 5 % MAX. | 5 % MAX.', 'label': []}",irrelevant
