text,label
"{'data': 'Acid value ( liquid value ) | ≤ 10 （ 60 % ） | mgKOH/g | <header> <Poperty Value> | <> | <Units> | <Method> </header>', 'label': [[13, 25, 'measuring_condition'], [32, 34, 'max'], [37, 41, 'measuring_condition'], [46, 53, 'unit']]}",Acid content
"{'data': 'Viscosity ( 23 ℃, 25 s - 1 ) : ISO 3219, STM 012 J | 24.0 - 34.0 Pa.s | national regulations. Store in accordance with local regulations. Store locked up. Keep out of reach of children. Store separately. Storage Temperature: Ambient temperature <header> <COMPOSITION ( ON NON - VOLATILES ) > <Oil type> | <COMPOSITION ( ON NON - VOLATILES ) > <coconut oil> | <COMPOSITION ( ON NON - VOLATILES ) > <APPLICATION> </header>', 'label': [[12, 26, 'measuring_condition'], [31, 50, 'method'], [53, 57, 'min'], [60, 64, 'max'], [65, 69, 'unit']]}",Viscosity
"{'data': 'Viscosity | : | 12 - | 18 | seconds, Paints Division body tube | seconds, Paints Division body tube | seconds, Paints Division body tube | seconds, Paints Division body tube <header> <> | <> | <> | <> | <> | <> | <> | <> </header>', 'label': [[23, 25, 'max'], [16, 18, 'min']]}",Viscosity
"{'data': 'Sales Specification | Acid value, mg KOH/g ( ASTM 3682 ) Max. 10 | Acid value, mg KOH/g ( ASTM 3682 ) Max. 10', 'label': [[34, 42, 'unit'], [45, 54, 'method'], [62, 64, 'max'], [79, 87, 'unit'], [90, 99, 'method'], [107, 109, 'max']]}",Acid content
"{'data': 'Eternal Resin | Oil Type | Oil Length ( % ) | N.V. ( # 1 % ) | Color, Max ( Gardner ) | Acid Value. Max ( Solid Basic ) <header> <Eternal Resin> | <Oil Type> | <Oil Length ( % ) > | <N.V. ( # 1 % ) > | <Color, Max ( Gardner ) > | <Acid Value. Max ( Solid Basic ) > </header>', 'label': []}",multi_header
"{'data': '❖General Properties', 'label': []}",irrelevant
"{'data': 'Viscosity | 23 46', 'label': [[12, 14, 'min'], [15, 17, 'max']]}",Viscosity
"{'data': 'Specifications | Value | Unit <header> <Specifications> | <Value> | <Unit> </header>', 'label': []}",header
"{'data': 'PA content, % | 28', 'label': []}",irrelevant
"{'data': 'Zirconium | 0.25 %', 'label': []}",irrelevant
"{'data': 'Sales Specification | Colour , Gardner scale ( ASTM D 1544 ) Max. 6 | Colour , Gardner scale ( ASTM D 1544 ) Max. 6', 'label': [[31, 38, 'unit'], [47, 58, 'method'], [66, 67, 'max'], [79, 86, 'unit'], [95, 106, 'method'], [114, 115, 'max']]}",Color
"{'data': 'Composition', 'label': []}",irrelevant
"{'data': 'MITTEL 6714, slip agent ( * ) | 1.0', 'label': []}",irrelevant
"{'data': 'Flash point | 46 °C | ISO 3679', 'label': []}",irrelevant
"{'data': 'Solid content | % 55 + 1', 'label': [[16, 17, 'unit'], [18, 20, 'mean'], [23, 24, 'std']]}",Solid content
"{'data': 'Solids ( +/ - 1 ) 70', 'label': [[14, 15, 'std'], [18, 20, 'mean']]}",Solid content
"{'data': 'Hydroxyl content | 2.7 | % | 2432 <header> <Property> | <Value> | <Unit> | <TM> </header>', 'label': [[19, 22, 'mean'], [25, 26, 'unit'], [29, 33, 'method']]}",Hydroxyl value
"{'data': '2 ) Xylene used as solvent instead of toluene', 'label': [[4, 10, 'qualitative_value']]}",Solvent type
"{'data': 'pH - value ( 10 % )', 'label': []}",irrelevant
"{'data': 'Alcohol: Pentaerythritol.', 'label': []}",irrelevant
"{'data': 'Ref :TDS 5103 - 1208', 'label': []}",irrelevant
"{'data': 'Solvent | Xylene', 'label': [[10, 16, 'qualitative_value']]}",Solvent type
"{'data': 'Solvent | D 40', 'label': [[10, 14, 'unclear_value']]}",Solvent type
"{'data': '- Ethyl Acetate | Soluble', 'label': []}",irrelevant
"{'data': 'Acid value 1 ) , mg KOH/g | max. 1.5', 'label': [[17, 25, 'unit'], [33, 36, 'max']]}",Acid content
"{'data': 'Solubility |', 'label': []}",irrelevant
"{'data': 'ACID VALUE | 97,8 - 121,8 | mg. KOH/g. | POLA 0101 <header> <Characteristics> | <Specification> | <Units> | <Method> </header>', 'label': [[13, 17, 'min'], [20, 25, 'max'], [28, 37, 'unit'], [41, 50, 'method']]}",Acid content
"{'data': 'Duramac WR 74 - 7478 Phenolic Modified Alkyd Resin', 'label': [[39, 50, 'qualitative_value']]}",Chemical modification
"{'data': 'Volatile Content | Xylene', 'label': []}",irrelevant
"{'data': 'pH - value, delivery form, DIN EN ISO 976 | < 7', 'label': []}",irrelevant
"{'data': 'SOLVENT COMPOSITION: MTO/XYLENE', 'label': [[21, 31, 'qualitative_value']]}",Solvent type
"{'data': 'Total solids w/w | 51 - 53 | % | 2023 <header> <Property> | <Range> | <Unit> | <TM> </header>', 'label': [[13, 16, 'measuring_condition'], [19, 21, 'min'], [24, 26, 'max'], [29, 30, 'unit'], [33, 37, 'method'], [0, 5, 'measuring_condition']]}",Solid content
"{'data': 'Density, 23 °C, DIN EN ISO 2811 - 1 | 1.013 g/cm³', 'label': []}",irrelevant
"{'data': '3. PROPRIETES SPECIALES : | 3. PROPRIETES SPECIALES : | | | | <header> <> | <> <FICHE TECHNIQUE> | <> <FICHE TECHNIQUE> | <> <FICHE TECHNIQUE> | <Code :> <FIT - 01 015 > | <Code :> <FIT - 01 015 > </header>', 'label': []}",irrelevant
"{'data': 'Solvent composition | Xylene', 'label': [[22, 28, 'qualitative_value']]}",Solvent type
"{'data': 'Flash point | 29 ºC', 'label': []}",irrelevant
"{'data': 'Product shape | Flake', 'label': []}",irrelevant
"{'data': 'Drying time | |', 'label': []}",irrelevant
"{'data': 'pH | 8.0 - 8.5 | 8.0 - 8.5 | 007 A | <header> <Property> | <Value Unit> | <Value Unit> | <Method STM*> | <ISO> </header>', 'label': []}",irrelevant
"{'data': 'Solid Content ( 120 degC / 1 Hr. ) | : 70 +/ - 2 %', 'label': [[16, 32, 'measuring_condition'], [39, 41, 'mean'], [47, 48, 'std'], [49, 50, 'unit']]}",Solid content
"{'data': 'Solvent composition | White spirit / xylene ( 90 / 10 )', 'label': [[22, 55, 'qualitative_value']]}",Solvent type
"{'data': 'Solubility | Insoluble in water, soluble in alcohols and other oils', 'label': []}",irrelevant
"{'data': 'Density ( Liquids ) | DIN EN ISO 2811 - 2', 'label': []}",irrelevant
"{'data': 'Fatty acids type | COCOFA', 'label': [[19, 25, 'qualitative_value']]}",Type oil
"{'data': 'industry ; clear finisces and impregnating vehicles for wood.', 'label': []}",irrelevant
"{'data': 'Appearance at 20 °C | - | Clear to light haze | OS - 500 <header> <Characteristics> | <Units> | <Values> | <Methods> </header>', 'label': [[14, 19, 'measuring_condition'], [26, 45, 'qualitative_value'], [48, 56, 'method']]}",Color
"{'data': 'Type of fatty acid | Linoleic rich', 'label': [[21, 34, 'qualitative_value']]}",Type oil
"{'data': 'Non - volatiles, by vol.: | 62.6 %', 'label': [[17, 24, 'measuring_condition'], [28, 32, 'mean'], [33, 34, 'unit']]}",Solid content
"{'data': 'Viscosity ( Gardner - 25 ºC ) | Z - Z 2', 'label': [[12, 27, 'measuring_condition'], [32, 33, 'min'], [36, 39, 'max']]}",Viscosity
"{'data': ' ( as supplied ) |', 'label': []}",irrelevant
"{'data': 'SPECIFICATIONS | Resin: | <header> <SPECIFICATIONS> | <Resin:> | <> </header>', 'label': []}",irrelevant
"{'data': 'Please read this and ensure that the | Please read this and ensure that the | Please read this and ensure that the | Please read this and ensure that the | Please read this and ensure that the | Please read this and ensure that the | Please read this and ensure that the <header> <Oil Modified Unsaturated> | <Oil Modified Unsaturated> | <Polyester> | <Z 102 - 569 > | <Date> | <:> | < 2 / 9 / 2008 > </header>', 'label': []}",irrelevant
"{'data': 'Solides content ( ASTM D 1259 ) | 60 ± 1 %', 'label': [[18, 29, 'method'], [34, 36, 'mean'], [39, 40, 'std'], [41, 42, 'unit']]}",Solid content
"{'data': 'Viscosity ( Gardner - Holdt, 25 ℃ | Z - Z 2 ( 60 % )', 'label': [[12, 33, 'measuring_condition'], [36, 37, 'min'], [40, 43, 'max'], [46, 50, 'measuring_condition']]}",Viscosity
"{'data': 'Specifications', 'label': []}",irrelevant
"{'data': 'Viscosity @ 25 degC ( 60 % in Xylene ) : | 10.7 - 12.9 Stokes', 'label': [[12, 38, 'measuring_condition'], [43, 47, 'min'], [50, 54, 'max'], [55, 61, 'unit']]}",Viscosity
"{'data': 'Solvent | Xylene', 'label': [[10, 16, 'qualitative_value']]}",Solvent type
"{'data': 'Colour ( Lico 200 ) 颜色 | max. 5 | Gardner | 008 E 4630 <header> <Property特性> | <Value规格> | <Units单位> | <Method方法 SBM * ISO> </header>', 'label': [[30, 31, 'max'], [34, 41, 'unit'], [44, 54, 'method']]}",Color
"{'data': 'Colour, Gardner, delivery form, DIN ISO 4630 | max. 10', 'label': [[8, 15, 'unit'], [17, 30, 'measuring_condition'], [32, 44, 'method'], [52, 54, 'max']]}",Color
"{'data': 'Flash point | 42 °C', 'label': []}",irrelevant
