text,label
"{'data': 'Storage/Packaging | At room temperature and protected from moisture, the product has a minimum shelf life of one year. It is shipped in 200 kg steel drums. | At room temperature and protected from moisture, the product has a minimum shelf life of one year. It is shipped in 200 kg steel drums. <header> <Use> | <HARD D 140 G is a medium low viscosity, reactive polyamide resin based on dimerized fatty acid and polyamimes.> | <HARD D 140 G is a medium low viscosity, reactive polyamide resin based on dimerized fatty acid and polyamimes.> </header>', 'label': []}",irrelevant
"{'data': 'Non - volatile materials | %', 'label': [[27, 28, 'unit']]}",Solid content
"{'data': 'Mix ratio, phr ( weight ) | | 58 <header> <Property> | <Method> | <Value> </header>', 'label': []}",irrelevant
"{'data': 'Typical key data |', 'label': []}",irrelevant
"{'data': '% Total amine nitrogen | 15.6 + 0.4 | S 6402 <header> <Appearance> | <flowing fluid liquid> | <flowing fluid liquid> </header>', 'label': []}",irrelevant
"{'data': 'Tensile Strength 3 | ASTM D 638 | psi | 8,739 <header> <> | <Method> | <Units> | <Value> </header>', 'label': []}",irrelevant
"{'data': 'PHYSICAL AND CHEMICAL DATA | <header> <Appearance @ 25 °C> | <: White Slurry> </header>', 'label': []}",irrelevant
"{'data': 'Typical Properties* | Visual Appearance Clear, no contamination Color, Gardner, max. 8 | Visual Appearance Clear, no contamination Color, Gardner, max. 8', 'label': []}",irrelevant
"{'data': 'Determined per batch: Viscosity DIN EN ISO 3219 - B Cone & Plate ( 23 °C ) | [ mPa.s ] | 1000 – 2000 | Maprenal MF 984 / 80 B is a medium reactive, methylated benzo - guanamine resin, which is fully soluble in polar solvents like alcohols, esters and ketones and partially soluble in hydrocarbons like solvent naphtha. In combination with suitable polyesters this resin provides glossy, hard, highly flexible and water resistant films with good adhesion to various substrates, e.g. especially to aluminum. | Maprenal MF 984 / 80 B is a medium reactive, methylated benzo - guanamine resin, which is fully soluble in polar solvents like alcohols, esters and ketones and partially soluble in hydrocarbons like solvent naphtha. In combination with suitable polyesters this resin provides glossy, hard, highly flexible and water resistant films with good adhesion to various substrates, e.g. especially to aluminum. <header> <Dissolved 80 % in n - butanol> <PROPERTIES> | <Dissolved 80 % in n - butanol> <> | <Dissolved 80 % in n - butanol> <> | <Dissolved 80 % in n - butanol> <USES:> | <Dissolved 80 % in n - butanol> <USES:> </header>', 'label': [[32, 47, 'method'], [50, 72, 'measuring_condition'], [79, 85, 'unit'], [89, 93, 'min'], [96, 100, 'max'], [103, 125, 'measuring_condition']]}",Viscosity
"{'data': 'Appearance | Amber Liquid | By visual observation <header> <Product Name Manufacturer End Use Product Code> | < ( TEPA ) TOSOH Corp Japan Tetraethylenepentamine Industry Use> | <Date : December 6, 2012 :TKH/AKZO/ 11 / 012 ( 3 ) No.> </header>', 'label': []}",irrelevant
"{'data': 'Color | GS | ASTM D 1544 | Max 6 <header> <Property> | <Unit> | <Test method> | <Typical values> </header>', 'label': []}",irrelevant
"{'data': 'Recommended use Level 4 , [ PHR ] | 60 - 90', 'label': []}",irrelevant
"{'data': 'Hardness, Shore D | 86 | 86', 'label': []}",irrelevant
"{'data': 'Tensile Modulus 11 ( thousand psi ) | 403 <header> <TYPICAL PROPERTIES> <Appearance> | <TYPICAL PROPERTIES> <Slightly Turbid Amber Liquid> </header>', 'label': []}",irrelevant
"{'data': 'Density at 20 °C ( ISO 1675 ) | 0.96', 'label': []}",irrelevant
"{'data': 'TYPICAL PROPERTIES | TYPICAL PROPERTIES | TYPICAL PROPERTIES <header> <TYPICAL PROPERTIES> <Appearance> | <TYPICAL PROPERTIES> <Water - White Liquid> | <TYPICAL PROPERTIES> <Water - White Liquid> </header>', 'label': []}",header
"{'data': 'Viscosity @ 77 °F / 25 °C | 1,200 | cP | ASTM D - 445 - 83, Brookfi eld, RVTD, Spindle 4 <header> <Property> | <Value> | <Unit> | <Method> </header>', 'label': [[12, 25, 'measuring_condition'], [28, 33, 'mean'], [36, 38, 'unit'], [41, 58, 'method'], [60, 88, 'measuring_condition']]}",Viscosity
"{'data': 'Property | Value/Range | UOM | Notes <header> <Property> | <Value/Range> | <UOM> | <Notes> </header>', 'label': []}",header
