text,label
"{'data': 'Viscosity, 23 °C | 13000 - 25000', 'label': []}",irrelevant
"{'data': '. High solids primer formulations', 'label': []}",irrelevant
"{'data': 'Visco/ 25 °C（cps） | 3000 - 8000 | Refer to the GB/T 2794 test temperature 25 ° C | 5000 <header> <Item> | <Spec.> | <Testing method> | <Result> </header>', 'label': []}",irrelevant
"{'data': 'alcohols |', 'label': []}",irrelevant
"{'data': 'O Solutions tend to separate at temperatures below 15 °C ( 59 °F ) , adding 2 – 5 % of an aromatic solvent produces stable solutions. | O Solutions tend to separate at temperatures below 15 °C ( 59 °F ) , adding 2 – 5 % of an aromatic solvent produces stable solutions. | O Solutions tend to separate at temperatures below 15 °C ( 59 °F ) , adding 2 – 5 % of an aromatic solvent produces stable solutions.', 'label': []}",irrelevant
"{'data': 'Color, Gardner | < 6 | Gardner <header> <Property> | <Range> | <Method> </header>', 'label': []}",irrelevant
"{'data': '2.Non Volatile | | | | 75 - 77 | | % | PCPL/FTM/ 009 <header> <PROPERTY> | <> | <> | <> | <LIMIT> | <> | <UNITS> | <TEST METHOD> </header>', 'label': [[23, 25, 'min'], [28, 30, 'max'], [35, 36, 'unit'], [39, 52, 'method']]}",Solid content
"{'data': 'Water | Insoluble', 'label': []}",irrelevant
"{'data': 'Viscosity, 23 °C | 480 - 760 | DIN 53019 / 53214', 'label': []}",irrelevant
"{'data': 'Aromatic hydrocarbons | Complete', 'label': []}",irrelevant
"{'data': 'Density ( Liquids ) approx at 20 °C | [ g/ml ] | 1,06 <header> <Dynamic Viscosity DIN 53177 Cone & Plate ( 23 °C ) > | < [ mPa.s ] > | < 11000 - 29000 > </header>', 'label': []}",irrelevant
"{'data': 'flash point | > 100 °C ( 212 °F ) | > 100 °C ( 212 °F )', 'label': []}",irrelevant
"{'data': 'Acid Value mg KOH/g: | 1.66 | 1.3 ~ 1.7 <header> <ITEM> | <ANALYSIS RESULT> | <STANDARD SPECIFICATIO> </header>', 'label': [[11, 19, 'unit'], [23, 27, 'mean'], [30, 33, 'min'], [36, 39, 'max']]}",Acid content
"{'data': 'Appearance | Clear liquid | Visual', 'label': []}",irrelevant
"{'data': 'Aromatic hydrocarbons | Complete <header> <Property> | <Range Method> </header>', 'label': []}",irrelevant
"{'data': 'Compatibility ( aliph. hydrocarbon ) DIN EN ISO 11908 n - Heptane tolerance at 23 °C | [ ml/g ] | 2 - 5 <header> <Dynamic Viscosity DIN 53177 Cone & Plate ( 23 °C ) > | < [ mPa.s ] > | < 11000 - 29000 > </header>', 'label': []}",irrelevant
