text,label
"{'data': 'Softening Point ( R&B ) , ℃', 'label': [[18, 21, 'measuring_condition'], [26, 27, 'unit']]}",Softening point
"{'data': 'The focus of the corporation ▄', 'label': []}",irrelevant
"{'data': 'Average Molecular Weight, GPC | | 350 | 460 | 510 | 540 | 670 | 700 | 856 | 950 | 1300 | 2225 | 2400 | 2600 <header> <SPECIFICATION PROPERTIES> | <ASTM> | <PB 6 > | <PB 8 > | <PB 10 > | <PB 12 > | <PB 16 > | <PB 18 > | <PB 20 > | <PB 24 > | <PB 32 > | <PB 122 > | <PB 124 > | <PB 128 > </header>', 'label': []}",irrelevant
"{'data': 'Density at 20 °C g/ml | | | 1.04 – 1.08 | DIN 52004 <header> <> | <MINIMUM> | <MAXIMUM> | <TYPICAL> | <TEST METHODS> </header>', 'label': []}",irrelevant
"{'data': 'COLOR - GARDNER | 10.14', 'label': [[8, 15, 'unit'], [18, 23, 'mean']]}",Color
"{'data': 'APPLICATIONS / END USES | APPLICATIONS / END USES | ATTRIBUTES / BENEFITS | ATTRIBUTES / BENEFITS <header> <APPLICATIONS / END USES> | <APPLICATIONS / END USES> | <ATTRIBUTES / BENEFITS> | <ATTRIBUTES / BENEFITS> </header>', 'label': []}",irrelevant
"{'data': 'PROPERTIES | PROPERTIES <header> <PROPERTIES> <* Appearance> | <PROPERTIES> <Clear liquid> </header>', 'label': []}",header
"{'data': ' | | Fast Dry | Fast Dry <header> <APPLICATIONS / END USES> | <APPLICATIONS / END USES> | <ATTRIBUTES / BENEFITS> | <ATTRIBUTES / BENEFITS> </header>', 'label': []}",irrelevant
"{'data': '< 3', 'label': []}",stray
"{'data': 'NEVCHEM® LR Resin | - - - | 1 1 | - - - | 11 <header> <Formula ( Parts by Weight ) > | <Control Uncured> | <Modified Uncured> | <Control Cured> | <Modified Cured> </header>', 'label': []}",irrelevant
"{'data': 'Appearance | Colorless solid', 'label': [[13, 28, 'qualitative_value']]}",Color
"{'data': 'SpGr ( 25 ℃ ) | 1.02 ~ 1.04 | Typically 1.02 - 1.04 <header> <Items> | <Specification> | <Comment> </header>', 'label': []}",irrelevant
"{'data': 'THE ABOVE ARE TYPICAL SPECIFICATIONS. ACTUAL SHIPMENT SPECIFICATIONS MAY VARY. FOR EXACT SHIPMENT SPECIFICATIONS, CONSULT CERTIFICATE OF QUALITY.', 'label': []}",irrelevant
"{'data': 'Product Name: | PR 1 C 9 Petroleum Resin', 'label': []}",irrelevant
"{'data': 'GA - 100 R | Amber pellet | MAX. 12 | < 30 | 105 ± 5 | 1,400 | < 0.03 <header> <SUNTACK / PETRORESIN> | <APPERANCE> <> | <COLOR GARDNER> < ( 50 % IN TOLUENE ) > | <BROMINE NUMBER> < ( 50 % IN TOLUENE ) > | <SOFTENING POINT> <R & B ( ℃ ) > | <MOLECULAR WEIGHT> <Mn ( GPC ) > | <ACID VALUE> < ( mg KOH/g ) > </header>', 'label': [[13, 25, 'qualitative_value'], [33, 35, 'max'], [40, 42, 'max'], [45, 48, 'mean'], [51, 52, 'std'], [55, 60, 'mean'], [65, 69, 'max']]}",multi
"{'data': 'RÜTGERS - Method | 1,7 - 2,2 %', 'label': []}",irrelevant
"{'data': 'Bromine Number, Br .g/ 100 g | Max', 'label': [[16, 28, 'unit']]}",Bromine number
"{'data': 'Necires EPX - L is a low viscous liquid hydrocarbon resin predo - minantly aromatic in character with non - reactive hydroxyl groups. Necirce EPX - L is used as a general purpose mpoxy - modifier. It has a low Gardner colour. Therefore, it can be applied in pale and white colours. providing the right curing system is used. An ad - ditional advantage of Necires EPX - L is ite low volatile contant and high flash point also combined with low viscosity. This low viscosity is of special importance for solventless coatings.', 'label': []}",irrelevant
"{'data': 'Density ( 25 °C ) , g/cm³ | ASTM D - 70 | 1.11 | <header> <Property> | <Method> | <Typical value> | <Selling Specification> </header>', 'label': []}",irrelevant
"{'data': 'Flash point, ª℃ | 160', 'label': []}",irrelevant
"{'data': 'Physical Form | Yellow Pellet', 'label': [[16, 29, 'qualitative_value']]}",Color
"{'data': 'Acid Value ( KOHmg/g ) | 0.04 | ASTM D 974 <header> <SPECIFICATIONS> <Softening Point ( Ring & Ball, ℃ ) > | <SPECIFICATIONS> < 90 - 100 > | <SPECIFICATIONS> <ASTM E 28 > </header>', 'label': [[13, 20, 'unit'], [25, 29, 'mean'], [32, 42, 'method']]}",Acid content
"{'data': 'CAS: 64742 - 1', 'label': []}",irrelevant
"{'data': 'Flash Point | open cup', 'label': []}",irrelevant
"{'data': 'Viscosity at 25 º C | DIN 53019', 'label': [[10, 19, 'measuring_condition'], [22, 31, 'method']]}",Viscosity
"{'data': 'Items | Specification | Comment <header> <Items> | <Specification> | <Comment> </header>', 'label': []}",header
"{'data': 'content | < 0,1', 'label': []}",irrelevant
"{'data': 'Acid Value ( KOHmg/g ) | 0.30 Max | ASTMD 974 <header> <___Properties> | <Typical Value> | <Test Method> </header>', 'label': [[13, 20, 'unit'], [25, 29, 'max'], [36, 45, 'method']]}",Acid content
"{'data': 'E - 130 | 130 S', 'label': []}",irrelevant
"{'data': 'Adhesives and Sealants | Solvent Adhesives <header> <Fields of Application> | <Application Examples> </header>', 'label': []}",irrelevant
"{'data': '@ 180 ℃, cps | 750 | <header> <Softening Point ( Ring & Ball, ℃ ) > | < 115 - 125 > | <ASTM E 28 > </header>', 'label': [[2, 7, 'measuring_condition'], [9, 12, 'unit'], [15, 18, 'mean']]}",Viscosity
"{'data': 'Color Gardner: | 5 - 6 +', 'label': [[6, 13, 'unit'], [17, 18, 'min'], [21, 22, 'max']]}",Color
"{'data': '* Polymer solids ( % by weight ) | 90 <header> <PROPERTIES> <* Appearance> | <PROPERTIES> <Clear liquid> </header>', 'label': [[2, 9, 'measuring_condition'], [35, 37, 'mean'], [19, 20, 'unit'], [21, 30, 'measuring_condition']]}",Solid content
"{'data': 'Flash Point ( Cleveland ) open cup | DIN ISO 2592 | ℃ | > 170', 'label': []}",irrelevant
"{'data': 'Ring and Ball Softening Point | ASTM E 28 | 85 °C <header> <Property> | <Test Method> | <Typical Value, Units> </header>', 'label': []}",irrelevant
"{'data': 'Color ( 50 wt % Solution in Toluene, Ga.# ) | Max.8 | ASTM D 1544 <header> <SPECIFICATIONS> <Softening Point ( Ring & Ball, ℃ ) > | <SPECIFICATIONS> < 90 - 100 > | <SPECIFICATIONS> <ASTM E 28 > </header>', 'label': [[8, 41, 'measuring_condition'], [50, 51, 'max'], [54, 65, 'method']]}",Color
"{'data': 'Molecular weight ASIM D - 3592 | 290 | <header> <> | <Typical Properties> | <Selling> </header>', 'label': []}",irrelevant
"{'data': 'Viscosity ( at 25 ℃, cps ) | 1,700', 'label': [[12, 19, 'measuring_condition'], [21, 24, 'unit'], [29, 34, 'mean']]}",Viscosity
"{'data': 'is sustainable, long - term ▄', 'label': []}",irrelevant
"{'data': 'Molecular weight | 290', 'label': []}",irrelevant
"{'data': 'Specific Gravity | 1.00 - 1.05', 'label': []}",irrelevant
"{'data': 'POLYBUTENES ARE COLORLESS, CHEMICALLY INERT LIQUIDS. THEY ARE NON - DRYING AND HIGHLY RESISTANT TO OXIDATION AND PHOTODEGRADATION. THEY ARE NON - TOXIC, AND WILL NOT LEAVE RESIDUE WHEN VOLATILIZED OR THERMALLY DECOMPOSE', 'label': []}",irrelevant
"{'data': 'Color, Gardner | ASTM D - 1544 | * 1 | Max.2 * <header> <Property> | <Method> | <Typical value> | <Selling Specification> </header>', 'label': [[7, 14, 'unit'], [17, 30, 'method'], [43, 44, 'max']]}",Color
"{'data': '* Referenced Test Method | | <header> <NEVCHEM® LR Resin Diluent> <Physical Properties> | <NEVCHEM® LR Resin Diluent> <Typical Properties> | <NEVCHEM® LR Resin Diluent> <Specifications> </header>', 'label': []}",irrelevant
"{'data': 'Gardner Color ( 50 % in 100 Solvent ) | ASTM D 1544 | 7 | 10 max. <header> <Property> | <Test Method> | <Typical Value> | <Specifications> </header>', 'label': [[0, 7, 'unit'], [16, 35, 'measuring_condition'], [40, 51, 'method'], [58, 60, 'max']]}",Color
"{'data': 'CAS.NO. | | 71302 - 90 - 4 | 71302 - 91 - 5 | 71302 - 91 - 5 | 68188 - 47 - 6 | 64742 - 16 - 1 | <header> <項 目 Item> <外 観 Appearance> | <単 位 Units> <> | <代 表 値 Representative Values> <黄橙色フレーク Yellowish orange flake> | <代 表 値 Representative Values> <黄褐色フレーク Pale yellow flake> | <代 表 値 Representative Values> <淡褐色フレーク Pale brown flake> | <代 表 値 Representative Values> <淡黄色ペレット Pale yellow pellet> | <代 表 値 Representative Values> <淡黄色ペレット Pale yellow pellet> | <試 験 法 Test method> <目視 Visual> </header>', 'label': []}",irrelevant
"{'data': 'TYPICAL PROPERTIES | | <header> <SPECIFICATIONS> <Softening Point ( Ring & Ball, ℃ ) > | <SPECIFICATIONS> < 90 - 100 > | <SPECIFICATIONS> <ASTM E 28 > </header>', 'label': []}",irrelevant
"{'data': 'Specific Gravity | ASTM D 71 - 72 A | g/cm 3 | 1.051 - 1.150 <header> <Testing item> | <Test Method> | <Unit> | <Specification> </header>', 'label': []}",irrelevant
"{'data': 'Softening Point ( Ring & Ball, oC ) | 120', 'label': [[18, 29, 'measuring_condition'], [31, 33, 'unit'], [38, 41, 'mean']]}",Softening point
