text,label
"{'data': ' ( diluted by cresol to 40 % solid content at 30 ℃ )', 'label': []}",irrelevant
"{'data': 'Characterization | Aliphatic polyisocyanate prepolymer based on isophorone diisocyanate.', 'label': [[64, 87, 'qualitative_value']]}",Base monomer
"{'data': 'Solvent | Ethyl acetate | | <header> <Other data* Property> | <Value> | <Unit of measurement> | <Method> </header>', 'label': [[10, 23, 'qualitative_value']]}",Solvent type
"{'data': 'NCO % | 15 - 16 | % | ASTM D 2572 <header> <Property> | <Value> | <Units> | <Method> </header>', 'label': [[4, 5, 'unit'], [8, 10, 'min'], [13, 15, 'max'], [18, 19, 'unit'], [22, 33, 'method']]}",NCO content
"{'data': 'Monomeric HDI Wt ( % ) | ≤ 0.4 | - <header> <Parameter index> | <AQUAPU - 379 > | <Detection method> </header>', 'label': [[0, 13, 'measuring_condition'], [14, 16, 'measuring_condition'], [19, 20, 'unit'], [27, 30, 'max']]}",Base monomer
"{'data': 'Specification：', 'label': []}",irrelevant
"{'data': 'Desmodur E 743 polyisocyanate produces one - component highly resilient, rubbery - like films with an extremely high abrasion resistance. Coatings based on Desmodur E 743 polyisocyanate are resistant to acids and alkalies of medium concentration. Solvents cause swelling of the flexible urethane coating. Desmodur E 743 polyisocyanate is not resistant to yellowing.', 'label': []}",irrelevant
"{'data': 'Items mentioned in this information are for customers reference and limited to certain examples although they are based on the most reliable data obtained by our company. It is hoped that customers make the best use of these products after careful examination.', 'label': []}",irrelevant
"{'data': 'NCO content DIN EN ISO 11909 | 14,5 - 15,5 %', 'label': [[12, 28, 'method'], [31, 35, 'min'], [38, 42, 'max'], [43, 44, 'unit']]}",NCO content
"{'data': 'Desmodur BL 4265 SN is a blocked aliphatic polyisocyanate based on isophorone diisocyanate ( IPDI ) and dissolved in aromatic 100.', 'label': [[67, 99, 'qualitative_value']]}",Base monomer
"{'data': 'NCO content | 23.0 ± 0.5 | % | DIN EN ISO 11 909 <header> <Form supplied> <Specification Property> | <Solvent - free> <Value> | <> <Unit of measurement> | <> <Method> </header>', 'label': [[14, 18, 'mean'], [21, 24, 'std'], [27, 28, 'unit'], [31, 48, 'method']]}",NCO content
"{'data': 'NCO Content | % | 22.5 ~ 23.5 <header> <Properties> | <Unit> | <Specification> </header>', 'label': [[14, 15, 'unit'], [18, 22, 'min'], [25, 29, 'max']]}",NCO content
"{'data': 'Type of Polymer : | Toluendiisocyanate based adduct POLURENE AD 67 AB', 'label': []}",irrelevant
"{'data': 'Specific gravity at 25 °C | 1.17 | g/cm 3 | g/cm 3 <header> <Other data* Property> | <Value> | <Unit of measurement> | <Method> </header>', 'label': []}",irrelevant
"{'data': 'Flash point | approx. 50 | °C | DIN 53 213 / 1 <header> <Other data* Property> | <Value> | <Unit of measurement> | <Method> </header>', 'label': []}",irrelevant
"{'data': 'Density, g/ml @ 25 °C ( lb/gal. @ 77 °F ) | 1.23 ( 10.3 ) <header> <Properties> | <Typical Value 1 > </header>', 'label': []}",irrelevant
"{'data': 'Viscosity at 23 °C, D = approx. 10 s - 1 | 100 - 2,500 | mPa·s | DIN EN ISO 3219 /A.3 <header> <> <Characteristic data* Property> | <Approx. 40 % in> <Value> | <water ( neutralized with 2.8 pts. dimethylethanolamine ) > <Unit of measurement> | <water ( neutralized with 2.8 pts. dimethylethanolamine ) > <Method> </header>', 'label': [[10, 40, 'measuring_condition'], [43, 46, 'min'], [49, 54, 'max'], [57, 62, 'unit'], [65, 85, 'method']]}",Viscosity
"{'data': 'Color value ( Hazen ) | ≤ 60 | | DIN EN 1557 <header> <Form supplied> <Characteristic data* Property> | < 88.5 % in solvent naphtha® 100 > <Value> | < 88.5 % in solvent naphtha® 100 > <Unit of measurement> | < 88.5 % in solvent naphtha® 100 > <Method> </header>', 'label': []}",irrelevant
"{'data': 'Typical data | | | | |', 'label': []}",irrelevant
"{'data': 'Flash point | approx. 38 | ℃ | DIN 53 213 / 1 <header> <Other data* Property Value Unit of measurement> | <Other data* Property Value Unit of measurement> | <Other data* Property Value Unit of measurement> | <Method> </header>', 'label': []}",irrelevant
"{'data': 'Solids content | 60 ± 1 | % by wt. | ISO 3251 ( 1.5 h 110 °C, < 2 hPa ) <header> <Property> | <Value> | <Unit> | <Test method> </header>', 'label': [[17, 19, 'mean'], [22, 23, 'std'], [26, 27, 'unit'], [28, 34, 'measuring_condition'], [37, 45, 'method'], [48, 69, 'measuring_condition']]}",Solid content
"{'data': 'Other data** Property | Value | Unit of measurement | Method <header> <Other data** Property> | <Value> | <Unit of measurement> | <Method> </header>', 'label': []}",header
"{'data': 'Monomeric HDI | ≤ 0.24 | % M 106 - ISO 10283', 'label': [[0, 13, 'measuring_condition'], [18, 22, 'max'], [25, 26, 'unit'], [27, 44, 'method']]}",Base monomer
"{'data': ' | - Polyurethane system', 'label': []}",irrelevant
"{'data': 'NCO - content | 31.8', 'label': [[16, 20, 'mean']]}",NCO content
"{'data': 'NCO CONTENT ( % ) : | 11.5 - 12,7 347', 'label': [[14, 15, 'unit'], [22, 26, 'min'], [29, 33, 'max'], [34, 37, 'unclear_value']]}",NCO content
"{'data': ' | ( ° ) DATA SHOWN ON ANALYSIS CERTIFICATE | ( ° ) DATA SHOWN ON ANALYSIS CERTIFICATE | ( ° ) DATA SHOWN ON ANALYSIS CERTIFICATE <header> <Type of Polymer :> | <Aromatic isocyanurate> | <Aromatic isocyanurate> | <Aromatic isocyanurate> </header>', 'label': []}",irrelevant
"{'data': 'Property | Value | Unit of measurement | Method', 'label': []}",header
"{'data': 'Form supplied | approx. 60 % in Solvesso® 100 | approx. 60 % in Solvesso® 100 | approx. 60 % in Solvesso® 100 <header> <Form supplied> <Characteristic data* Property> | <approx. 60 % in Solvesso® 100 > <Value> | <approx. 60 % in Solvesso® 100 > <Unit of measurement> | <approx. 60 % in Solvesso® 100 > <Method> </header>', 'label': [[24, 26, 'mean'], [27, 28, 'unit'], [32, 45, 'qualitative_value'], [56, 58, 'mean'], [59, 60, 'unit'], [64, 77, 'qualitative_value'], [88, 90, 'mean'], [91, 92, 'unit'], [96, 109, 'qualitative_value']]}",Solvent type
"{'data': 'Typical properties |', 'label': []}",irrelevant
"{'data': 'Viscosity 25 °C | 90 ± 20 | mPa·s | MDI - 01 - 02', 'label': [[10, 15, 'measuring_condition'], [18, 20, 'mean'], [23, 25, 'std'], [28, 33, 'unit'], [36, 49, 'method']]}",Viscosity
"{'data': '25 °C | 1.23', 'label': [[0, 5, 'measuring_condition'], [8, 12, 'mean']]}",stray
"{'data': 'Flash point | approx. 181 | °C | DIN 22 719 <header> <Other data* Property Value> | <Other data* Property Value> | <Unit of measurement> | <Method> </header>', 'label': []}",irrelevant
"{'data': 'Hydrolyzable chlorides | ≤ 10 | mg/kg | internal method <header> <Property> | <Value> | <Unit of measurement> | <Method> </header>', 'label': []}",irrelevant
"{'data': 'Equivalent weight | approx. 382 | | <header> <Other data* Property> | <Value> | <Unit of measurement> | <Method> </header>', 'label': []}",irrelevant
"{'data': 'Measured | | | | <header> <Documents> <Document Type Technical Datasheet - Internet> | <WWW Document KH 0252 Technical Datasheet> <Document Type Technical Datasheet - Internet> | <Message> <Document Type Technical Datasheet - Internet> | <> | <> </header>', 'label': []}",irrelevant
"{'data': 'Hazen color value | ≤ 150 | | DIN EN ISO 1557 <header> <Characteristic data* Property> | <Value> | <Unit of measurement> | <Method> </header>', 'label': []}",irrelevant
"{'data': 'Other data* Property | Value | Unit of measurement | Method <header> <Other data* Property> | <Value> | <Unit of measurement> | <Method> </header>', 'label': []}",header
"{'data': 'Uses | Hardener for waterborne two - component polyurethane systems. <header> <Form supplied> | <solventfree> </header>', 'label': []}",irrelevant
"{'data': 'Density | 1.07 g/cm 3 ISO 1183', 'label': []}",irrelevant
"{'data': 'NCO content ( free ) | ≤ 0.8 | % wt | DIN EN ISO 11909 <header> <Specification> <Property> | <Specification> <Value> | <Specification> <Unit> | <Specification> <Test method> </header>', 'label': [[14, 18, 'measuring_condition'], [25, 28, 'max'], [31, 32, 'unit'], [33, 35, 'measuring_condition'], [38, 54, 'method']]}",NCO content
"{'data': 'The information provided in this document is given in good faith and based on our current knowledge. It is only an indication and is in no way binding, particularly as regards infringement of or prejudice to third parties through the use of our products. VENCOREX guarantees that its products comply with its sales specifications, within the abovementioned ranges, to the exclusion of any other guarantee whatsoever, including hidden defect. This information must on no account be used as a substitute to necessary prior tests performed by user which alone can ensure that a product is suitable for a given or intended use. NO WARRANTIES OR GUARANTEES OF ANY KIND, EITHER EXPRESS OR IMPLIED, INCLUDING, BUT NOT LIMITED TO, WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE, ARE MADE REGARDING PRODUCTS DESCRIBED AND DATA OR INFORMATION SET FORTH HEREIN. Users are responsible for ensuring compliance with local legislation and regulations and for obtaining the required certifications and authorizations. Unless VENCOREX otherwise agrees in writing, all VENCOREX products are sold strictly pursuant to VENCOREX standard terms and conditions of sale which are available upon request. All information and technical assistance given is subject to change without prior notice. VENCOREX assumes no liability for the description, information, design or data given or results obtained, all such being given and accepted at the readers’s own risks.', 'label': []}",irrelevant
