text,label
"{'data': 'Viscosity | 60 - 90 | Seconds | Ford 4 Cup at 25 ℃ <header> <> | <Value> | <Unit> | <Method> </header>', 'label': []}",irrelevant
"{'data': 'Colour / Appearance | VLN 250', 'label': []}",irrelevant
"{'data': 'Color, Gardner | 8 - 20', 'label': [[7, 14, 'unit'], [17, 18, 'min'], [21, 23, 'max']]}",Color
"{'data': 'density | [ g / cm³ ] | 1,06', 'label': []}",irrelevant
"{'data': 'Tests methods are available upon request. | Tests methods are available upon request. | | Epoxy 9 solution ( a ) | 770 g', 'label': []}",irrelevant
"{'data': 'Resin content | 135 ℃ - 1 hr, % | 67 <header> <Items> | <Condition, unit> | <Data> </header>', 'label': []}",irrelevant
"{'data': 'Physical Property | Physical Property | Units | Units | Method ( 1 ) | Minimum | Maximum <header> <Physical Property> | <Physical Property> | <Units> | <Units> | <Method ( 1 ) > | <Minimum> | <Maximum> </header>', 'label': []}",header
"{'data': 'Epoxy resin 9 solution ( a ) | 565 g', 'label': []}",irrelevant
"{'data': 'Flash Point | DIN EN ISO 1523', 'label': []}",irrelevant
"{'data': 'Phenodur PR 411 is meant for the coating of interior and exterior surfaces of packaging containers and cans ; as high adhesion, chemically resistant protective coatings for apparatus, vessels, pipelines etc. ; for heat curing phenolic/epoxide and phenolic/polyester resin combinations ; for heat curing phenolic/polyvinylbutyral combinations and for physically drying paints with resistance to fuel and oil.', 'label': []}",irrelevant
"{'data': 'Content of free phenol ( GC ) ( DIN 16916 - 02 - L 2, DIN EN ISO 8974 ) | % max. 0,1 | % max. 0,1 | FPH 6.03 <header> <Chemical characteristic Delivery form> | <phenolic resin, modified> <powder> | <phenolic resin, modified> <powder> | <> <powder> </header>', 'label': []}",irrelevant
"{'data': 'Free Monomers | % [ typical ] <header> <Free Monomers> | < % [ typical ] > </header>', 'label': []}",irrelevant
"{'data': 'Storage : | 4 months from manufacturing date at temperatures between 5 - 35 ℃.', 'label': []}",irrelevant
"{'data': 'viscosity | [ mPa.s ] 1000 - 2250', 'label': []}",irrelevant
"{'data': 'approx.', 'label': []}",irrelevant
"{'data': 'Delivery form | 75 % non - volatile in xylene', 'label': []}",irrelevant
"{'data': 'Phenodur PR 217, PR 285 | | | | | <header> < % Phenodur PR 722 > < % other binder> | < 90 > < 10 > | < 75 > < 25 > | < 50 > | < 25 > < 75 > | < 10 > < 90 > </header>', 'label': []}",irrelevant
"{'data': ' ( 20 °C )', 'label': []}",irrelevant
"{'data': 'Dynamic Viscosity ( Ubbelohde ) DIN 53177 dynamic viscosity ( 23 °C ) | [ mPa.s ] 65 - 110', 'label': []}",irrelevant
"{'data': 'iodine colour number | <= 100', 'label': []}",irrelevant
"{'data': 'Phenodur PR 401 | } | | } | | }', 'label': []}",irrelevant
"{'data': 'Floatation in Toluene Dupanol solution | > 90 %', 'label': []}",irrelevant
