text,label
"{'data': ' ( 40 % in white spirit K 30 – Isobutanol ( 23,5 : 1,5 ) ( in - house method AV - F - V 003 ) |', 'label': []}",irrelevant
"{'data': ' | | BAC | 0.5 <header> <Host> | <Weight Ratio ( g ) > | <Hardener> | <Weight Ratio ( g ) > </header>', 'label': []}",irrelevant
"{'data': 'Tg ( °C ) | 50', 'label': [[5, 7, 'unit'], [12, 14, 'mean']]}",Glass transition temperature
"{'data': 'Flammability | not applicable', 'label': []}",irrelevant
"{'data': 'propanol | % m/m | 4 | <header> <Property> | <Unit> | <Value> | <Test Method/Standard> </header>', 'label': []}",irrelevant
"{'data': 'Melting Point | JIS K 7121 | °C | 40 <header> <Property> | <Test Method> | <Units> | <EV 40 W> </header>', 'label': []}",irrelevant
"{'data': 'Viscosity, Brookfield, Poise @ 25 ℃ ( DIN ISO 2555 - 89 ) | 100 - 160', 'label': [[11, 21, 'measuring_condition'], [23, 28, 'unit'], [31, 35, 'measuring_condition'], [38, 55, 'method'], [60, 63, 'min'], [66, 69, 'max']]}",Viscosity
"{'data': 'Appearance | White non - regular flake', 'label': []}",irrelevant
"{'data': 'nan | TE L : 82 - 63 - 260 - 2000 821 Yongam - Ri, BongDong - Eub FAX : 82 - 63 - 262 - 0021 Wanju - Gun, Cholla Buk - Do,595 - 900,Korea | TE L : 82 - 63 - 260 - 2000 821 Yongam - Ri, BongDong - Eub FAX : 82 - 63 - 262 - 0021 Wanju - Gun, Cholla Buk - Do,595 - 900,Korea <header> <KCNC> | <KOREA CNC LTD> | <KOREA CNC LTD> </header>', 'label': []}",irrelevant
"{'data': 'Thinner：S - 100 /MIBK/PMA/BCS= 45 / 25 / 20 / 10 ( Wt. )', 'label': [[22, 25, 'qualitative_value'], [17, 21, 'qualitative_value'], [8, 15, 'qualitative_value'], [26, 29, 'qualitative_value']]}",Solvent type
"{'data': 'STORAGE AND SHELF LIFE GUIDELINE AND SAFETY | The resin should be stored indoors in the original, unopened and undamaged containers in a dry place at storage temperatures between 5 °C and 30 °C. Exposure to direct sunlight should be avoided. | The resin should be stored indoors in the original, unopened and undamaged containers in a dry place at storage temperatures between 5 °C and 30 °C. Exposure to direct sunlight should be avoided. | The resin should be stored indoors in the original, unopened and undamaged containers in a dry place at storage temperatures between 5 °C and 30 °C. Exposure to direct sunlight should be avoided. <header> <TYPE DELIVERY FORM> | <Air - drying short - oil alkyd resin. 65 % in BUTYL ACETATE> | <Air - drying short - oil alkyd resin. 65 % in BUTYL ACETATE> | <Air - drying short - oil alkyd resin. 65 % in BUTYL ACETATE> </header>', 'label': []}",irrelevant
"{'data': 'Damping agent | Received % | DG 30 ± 2 | WJ 9028 - 05 4.5.12 <header> <Item> | <Index> <Unit> | <Index> <H 1 / 16 ″EA> | <Index> <Test Method> </header>', 'label': []}",irrelevant
"{'data': 'Speed: | 200 rpm', 'label': []}",irrelevant
"{'data': 'Recommended Use Level ( % of total resin weight ) | ≤ 20 | - <header> <PROPERTY> <Appearance> | <TYPICAL VALUE> <Orange brown liquid> | <TEST METHOD> <Visual> </header>', 'label': []}",irrelevant
"{'data': 'Toluene | > 20 g | EAc | > 20 g <header> <Solvent> | <Grams> | <Solvent> | <Grams> </header>', 'label': []}",stray
"{'data': ' | Pot - life* | 26 ± 3 | min | fr. 23 - > 40 °C w. 100 ml <header> <> | <Property> | <Value> | <Unit> | <Method of Determination> </header>', 'label': []}",irrelevant
"{'data': 'Item | Unit | H 1 / 4 ″a | H 1 / 4 ″b | H 1 / 4 ″c | Test Method <header> <Item> | <Index> <Unit> | <Index> <H 1 / 4 ″a> | <Index> <H 1 / 4 ″b> | <Index> <H 1 / 4 ″c> | <Index> <Test Method> </header>', 'label': []}",header
"{'data': 'Solid | 63 – 67 % | PO 4928 <header> <Analysis> | <Specifications> | <Methods of CNQB> </header>', 'label': [[8, 10, 'min'], [13, 15, 'max'], [16, 17, 'unit'], [20, 27, 'method']]}",Solid content
"{'data': 'Application | The theoretical hydroxyl value of the product is 160. Information of the application available upon request. Relevant personnel will provide you with professional service and technical support.', 'label': []}",irrelevant
"{'data': 'Specifications', 'label': []}",irrelevant
"{'data': 'RS 2000 sec | 1500 ~ 2400 | Below 0.03 % | 100 kg <header> <Specification> | <Viscosity ( sec ) > | <Acidity ( % ) > | <Packaging> </header>', 'label': []}",multi
"{'data': 'Specification', 'label': []}",irrelevant
"{'data': 'Solids content | 50 - 51 % <header> <Property> | <Typical Values> </header>', 'label': [[17, 19, 'min'], [22, 24, 'max'], [25, 26, 'unit']]}",Solid content
"{'data': 'Product Name Name | RAC SR - 200 | Inspection Date 2017. 11. 06 | Inspection Date 2017. 11. 06 | Inspection Date 2017. 11. 06 | Inspection Date 2017. 11. 06', 'label': []}",irrelevant
"{'data': 'Acid value ( on solids ) | 30 - 45', 'label': [[13, 22, 'measuring_condition'], [27, 29, 'min'], [32, 34, 'max']]}",Acid content
"{'data': '溶剂 | 溶剂 | 二甲苯', 'label': []}",irrelevant
"{'data': 'SAFETY INFORMATION: | ■ Please refer to Material Safety Data Sheet <header> <Softening Point 2 ( R&B ) , ºC> <Color, Gardner 3 ( 60 % in toluene ) Viscosity, Gardner 4 ( 60 % in toluene ) Viscosity, # 3 Zahn Cup ( Secs. ) > <FEATURES> | < 133 > < 6 N 50 > <BENEFITS> </header>', 'label': []}",irrelevant
"{'data': 'The date of manufacture | June/ 10 / 2014', 'label': []}",irrelevant
"{'data': ' | | | | | <header> <SPECIFICATIONS PROPERTIES METHOD/ASTM NUMBER ( IF APPLICABLE ) > | <SPECIFICATIONS PROPERTIES METHOD/ASTM NUMBER ( IF APPLICABLE ) > | <SPECIFICATIONS PROPERTIES METHOD/ASTM NUMBER ( IF APPLICABLE ) > | <SPECIFICATIONS PROPERTIES METHOD/ASTM NUMBER ( IF APPLICABLE ) > | <SPECIFICATIONS PROPERTIES METHOD/ASTM NUMBER ( IF APPLICABLE ) > | <SPECIFICATIONS PROPERTIES METHOD/ASTM NUMBER ( IF APPLICABLE ) > </header>', 'label': []}",irrelevant
"{'data': 'Degree of Thermal Resistance, Min | 7 min', 'label': []}",irrelevant
"{'data': 'Torque | 80 ± 5 % <header> <> | <Extrusion> </header>', 'label': []}",irrelevant
"{'data': 'PERFORMANCE PROPERTIES | Non - volatiles, % min. | 97 <header> <> | <Appearance> | <Off - white flake> </header>', 'label': [[42, 43, 'unit'], [51, 53, 'min']]}",Solid content
"{'data': 'VOLATILES | 56.0 % H 2 O ( by weight ) 66.6 % H 2 O ( by volume )', 'label': [[19, 24, 'qualitative_value'], [46, 51, 'qualitative_value']]}",Solvent type
"{'data': 'Percent solids ( ± 2 % ) | 60', 'label': [[0, 7, 'measuring_condition'], [19, 20, 'std'], [21, 22, 'unit'], [27, 29, 'mean']]}",Solid content
"{'data': 'Tg, / Minimum Film - Forming Temperature ( °C ) | - / 0', 'label': [[43, 45, 'unit']]}",irrelevant
"{'data': 'TYPE | 60 % in XYLENE', 'label': [[15, 21, 'qualitative_value']]}",Solvent type
