text,label
"{'data': 'Diluent | | Toluene/xylene <header> <Test> | <Unit> | <Result> </header>', 'label': [[12, 26, 'qualitative_value']]}",Solvent type
"{'data': 'isobutanol / xylene 1 : 30 | solvent -', 'label': [[0, 19, 'qualitative_value'], [20, 26, 'mean']]}",Solvent type
"{'data': 'Product data', 'label': []}",irrelevant
"{'data': 'Product data', 'label': []}",irrelevant
"{'data': 'Method | Test | Unit | Result <header> <Method> | <Test> | <Unit> | <Result> </header>', 'label': []}",header
"{'data': 'Triazine Formaldehyde | Uformite MX - 61 | C | I <header> <Organic Resin Type> | <Brand> | <Silicone 25 % > | <Solids 50 % > </header>', 'label': []}",irrelevant
"{'data': 'Color | / siloxane content Density at 23 °C Viscosity, dynamic at 23 °C', 'label': [[55, 71, 'measuring_condition']]}",multi
"{'data': 'Test | Unit | Result <header> <Test> | <Unit> | <Result> </header>', 'label': []}",header
"{'data': '1 CTMs ( Corporate Test Methods ) correspond to standard ASTM tests in most instances. Copies of CTM procedures are available upon request.', 'label': []}",irrelevant
"{'data': '0090 | Flash Point, closed cup | ℃ ( ºF ) | 138 ( 280 ) <header> <CTM 1 > | <Property> | <Unit> | <Result> </header>', 'label': []}",irrelevant
"{'data': 'solvent | butyl acetate', 'label': [[10, 23, 'qualitative_value']]}",Solvent type
"{'data': 'Flash point | DIN 51755 | 25 °C <header> <Typical general characteristics> | <Inspection Method> | <Value> </header>', 'label': []}",irrelevant
"{'data': '% wt, approx…...... | 55', 'label': [[0, 1, 'unit'], [2, 4, 'measuring_condition'], [22, 24, 'mean']]}",stray
"{'data': 'Colour | | colorless to yellowish <header> <Typical general characteristics> | <Inspection Method> | <Value> </header>', 'label': []}",irrelevant
"{'data': 'CTM 0004 | Viscosity | cp | 200 <header> <Method> | <Test> | <Unit> | <Result> </header>', 'label': [[0, 8, 'method'], [23, 25, 'unit'], [28, 31, 'mean']]}",Viscosity
"{'data': 'Specific Gravity ( ρ 20 °C,g/cm 3 ) : | 0.950 ~ 1.050', 'label': []}",irrelevant
"{'data': 'Drying time at 200 °C ( 392 °F ) | hours | 1 - 2 <header> <Property> | <Unit> | <Result> </header>', 'label': []}",irrelevant
"{'data': 'Specification writers: These values are not intended for use in preparing specifications. Please contact your local Dow Corning sales representative prior to writing specifications on this product.', 'label': []}",irrelevant
"{'data': 'Appearance | : Clear, colourless liquid', 'label': []}",irrelevant
"{'data': 'Ignition temperature | DIN 51 794 | [ c ] | 450 <header> <Properties> | <Test procedure> | <Unit> | <Value> </header>', 'label': []}",irrelevant
"{'data': 'Acrylic | Acryloid B - 72 | C | C <header> <Organic Resin Type> | <Brand> | <Silicone 25 % > | <Solids 50 % > </header>', 'label': []}",irrelevant
"{'data': 'Viscosity at 20 °C ( mPa.s ) | 30', 'label': [[10, 18, 'measuring_condition'], [21, 26, 'unit'], [31, 33, 'mean']]}",Viscosity
"{'data': 'Typical general characteristics | Inspection Method | Value <header> <Typical general characteristics> | <Inspection Method> | <Value> </header>', 'label': []}",header
"{'data': ' ( OPM 3 /D 3 ) | ( OPM 3 /D 3 ) | TDS: 307 | Issue: 01 | Created: 11 / 07 / 2018 | Page 1 of 1 <header> < ( OPM 3 /D 3 ) > | < ( OPM 3 /D 3 ) > | <TDS: 307 > | <Issue: 01 > | <Created: 11 / 07 / 2018 > | <Page 1 of 1 > </header>', 'label': []}",irrelevant
"{'data': 'Viscosity, dynamic at 25 °C | | approx. 12 mPa.s <header> <Typical general characteristics> | <Inspection Method> | <Value> </header>', 'label': [[11, 27, 'measuring_condition'], [40, 42, 'mean'], [43, 48, 'unit']]}",Viscosity
"{'data': 'Active content | | approx. 50 wt. % <header> <Typical general characteristics> | <Inspection Method> | <Value> </header>', 'label': []}",irrelevant
"{'data': 'percent | 80', 'label': [[0, 7, 'unit'], [10, 12, 'mean']]}",stray
"{'data': 'Curing time at 250 ℃ ( 482 ºF ) | hours | 1 <header> <Parameter> | <Unit> | <Value> </header>', 'label': []}",irrelevant
"{'data': 'Solids content | ( 1 g - 1 h - 105 °C - DIN 3251 ) , 50', 'label': [[19, 37, 'measuring_condition'], [40, 48, 'method'], [53, 55, 'mean']]}",Solid content
"{'data': 'appearance clear to hazy colored liquid ( product properties are not affected by', 'label': []}",irrelevant
"{'data': 'Characteristics | Specific gravity at 25 °C, approx ........................................................................... 1.1', 'label': []}",irrelevant
"{'data': 'Density, lbs/gal | 9.5 <header> <Property> | <Value> </header>', 'label': []}",irrelevant
"{'data': 'Volatile Organic | | <header> <Test> | <Unit> | <Result> </header>', 'label': []}",irrelevant
"{'data': ' | Degree of Substitution | | 1.0 <header> <CTM 1 > | <Property> | <Unit> | <Result> </header>', 'label': []}",irrelevant
"{'data': 'CTM 0001 A | Specific Gravity | | 1.120 <header> <Method> | <Test> | <Unit> | <Result> </header>', 'label': []}",irrelevant
"{'data': 'non - volatile content | 1 h/ 180 ℃ 48.5 - 52.5 %', 'label': [[25, 35, 'measuring_condition'], [36, 40, 'min'], [43, 47, 'max'], [48, 49, 'unit']]}",Solid content
"{'data': 'CTM 1 | Property | Unit | Result <header> <CTM 1 > | <Property> | <Unit> | <Result> </header>', 'label': []}",header
"{'data': 'Appearance: | ( AP 01 )', 'label': []}",irrelevant
"{'data': 'Typical general characteristics | Inspection Method | Value <header> <Typical general characteristics> | <Inspection Method> | <Value> </header>', 'label': []}",header
"{'data': 'Technical information', 'label': []}",irrelevant
"{'data': 'delivery form | liquid <header> <acid number ( calculated onnon - volatile content ) > | <Approx < 9 mg KOH/g> </header>', 'label': [[16, 22, 'qualitative_value']]}",Solvent type
"{'data': 'Characteristics | Brookfield viscosity, room temperature, mPas............................................. < 500', 'label': [[18, 28, 'measuring_condition'], [40, 56, 'measuring_condition'], [58, 62, 'unit'], [110, 113, 'max']]}",Viscosity
"{'data': 'e ) Precipitate % ( v/v ) , not mare than | 0,75 <header> <Requirements> | <Value> </header>', 'label': []}",irrelevant
"{'data': 'Methoxy Content | wt % | 15 – 18 <header> <Property> | <Unit> | <Result> </header>', 'label': []}",irrelevant
"{'data': 'Value | approx. 50 % by weight', 'label': [[16, 18, 'mean'], [19, 20, 'unit'], [21, 30, 'measuring_condition']]}",stray
"{'data': 'Boiling point °C Flash point °C | Boiling point °C Flash point °C | > 200 126.5 | > 200 152 | > 200 | > 200 <header> <MSnn> | <MSnn> | <MS 51 > | <MS 56 > | <MS 57 > | <MS 56 s> </header>', 'label': []}",irrelevant
"{'data': 'Processing | Formulation of a ready - to - use solution The product should be diluted before application. Most of the time, the weight dilution ratios are 1 : 10 to 1 : 20 and depend on the substrate and its absorption capacity. Surface preparation', 'label': []}",irrelevant
"{'data': 'Advantages | • versatility allowing its use on many mineral materials', 'label': []}",irrelevant
"{'data': 'Viscosity, dynamic at 25 °C | DIN 51562 | 50 - 150 mPa.s <header> <Typical general characteristics> | <Inspection Method> | <Value> </header>', 'label': [[11, 27, 'measuring_condition'], [30, 39, 'method'], [42, 44, 'min'], [47, 50, 'max'], [51, 56, 'unit']]}",Viscosity
"{'data': 'Characteristic short description | method | Specification | Specification | Unit <header> <Characteristic short description> | <method> | <Specification> <Lower> | <Specification> <Upper> | <Unit> <Upper> </header>', 'label': []}",header
"{'data': 'These figures are intended as a guide and should not be used in preparing specifications.', 'label': []}",irrelevant
"{'data': 'properties are not affected by', 'label': []}",irrelevant
"{'data': 'Flash point: | non - flammable', 'label': []}",irrelevant
"{'data': '· density at 25 ℃ | DIN 51757 - 4 | 1.01 - 1.03 g/ml', 'label': []}",irrelevant
"{'data': 'Density at 25 °C, approx. | [ g/cm³ ] | 1.0 <header> <> <Appearance> | <> | <> <milky, white> </header>', 'label': []}",irrelevant
"{'data': '0553 | Molecular Weight | | <header> <CTM 1 > | <Property> | <Unit> | <Result> </header>', 'label': []}",irrelevant
"{'data': 'Characteristics | Solvent.......................…...................... ...................................................... ................ Xylene', 'label': [[144, 150, 'qualitative_value']]}",Solvent type
"{'data': 'CTM 1 | Property | Unit | Result <header> <CTM 1 > | <Property> | <Unit> | <Result> </header>', 'label': []}",header
"{'data': 'Advantages | Impregnation with BLUESIL BP 9400 provides long - lasting limitation of the water penetration in the walls and facades without blocking their breathability ( water vapor exchanges ) .', 'label': []}",irrelevant
"{'data': 'Viscosity, dynamic | 23 °C | approx. 4000 mPa·s | Brookfield <header> <Property> | <Condition> | <Value> | <Method> </header>', 'label': [[11, 18, 'measuring_condition'], [21, 26, 'measuring_condition'], [37, 41, 'mean'], [42, 47, 'unit'], [50, 60, 'measuring_condition']]}",Viscosity
"{'data': 'CTM 0208 | Nonvolatile Content 2 | percent | 80 <header> <Method> | <Test> | <Unit> | <Result> </header>', 'label': [[0, 8, 'method'], [35, 42, 'unit'], [45, 47, 'mean']]}",Solid content
"{'data': 'Characteristic short description | method | Lower | Upper | Upper <header> <Characteristic short description> | <method> | <Specification> <Lower> | <Specification> <Upper> | <Unit> <Upper> </header>', 'label': []}",header
"{'data': 'Characteristics | Colour................................................................................................................white', 'label': []}",irrelevant
"{'data': 'Density | g/cm 3 ( lb/gal ) | 0.96 ( 8.01 ) <header> <Test> | <Unit> | <Result> </header>', 'label': []}",irrelevant
"{'data': 'Solvent Naphtha light | 30,00 <header> <Product> | <w/w % > </header>', 'label': [[8, 21, 'qualitative_value'], [24, 29, 'mean']]}",Solvent type
"{'data': 'Viscosity at 25 °C,mm 2 /s, approx...................... ........................................... ..................... | 15', 'label': [[10, 18, 'measuring_condition'], [19, 26, 'unit'], [125, 127, 'mean']]}",Viscosity
"{'data': 'Total | 100.00 <header> <Raw Materials> | <Amount> </header>', 'label': []}",irrelevant
"{'data': 'Storage and shelf life | When stored in its original unopened packaging, at a temperature of between + 2 °C and + 30 °C, BLUESIL BP 9821 may be stored for up to 6 months from the date of manufacture clearly marked on the packaging. Beyond this date, Bluestar Silicones no longer guarantees that the product meets the sales specifications.', 'label': []}",irrelevant
"{'data': 'Flash Point, closed cup | °C ( °F ) | 10 ( 50 ) <header> <Test> | <Unit> | <Result> </header>', 'label': []}",irrelevant
"{'data': 'Product data', 'label': []}",irrelevant
"{'data': '0004 | | Viscosity | cp | 3500 - 4500 <header> <CTM*> | <ASTM*> | <Property> | <Unit> | <Value> </header>', 'label': [[0, 4, 'method'], [21, 23, 'unit'], [26, 30, 'min'], [33, 37, 'max']]}",Viscosity
"{'data': 'Epoxy | Epon 1001 | I | I <header> <Organic Resin Type> | <Brand> | <Silicone 25 % > | <Solids 50 % > </header>', 'label': []}",irrelevant
"{'data': 'Specific Gravity at 25 °C ( 77 °F ) | | 0.96 <header> <Test> | <Unit> | <Result> </header>', 'label': []}",irrelevant
"{'data': 'Characteristics | Density at 25 °C , approx...................... ..................................……....…………..1,1', 'label': []}",irrelevant
