text,label
"{'data': 'Agency Ratings | • EC 1907 / 2006 ( REACH ) • EU No 10 / 2011 | • EC 1907 / 2006 ( REACH ) • EU No 10 / 2011', 'label': []}",irrelevant
"{'data': 'Others | | <header> <Applications> | <Solid> | <Foam> </header>', 'label': []}",irrelevant
"{'data': 'AOC’s Vipel F 085 series is an epoxy novolac vinyl ester resin dissolved in styrene.', 'label': [[76, 83, 'qualitative_value']]}",Solvent type
"{'data': 'K value according to Fikentscher ( ISO 174, DIN 53726 ) | | 30 ~ | 30 ~ | 35 ~ | 35 35 ~ ~ | 35 35 ~ ~ | 35 35 ~ ~ | 35 35 ~ ~ | ~ 35 <header> <Product specification> | <> | <Laroflex®> <MP 15 > | <Laroflex®> <MP 15 > | <Laroflex®> <MP 25 > | <Laroflex®> <MP 35 MP 45 > | <Laroflex®> <MP 35 MP 45 > | <Laroflex®> <MP 35 MP 45 > | <Laroflex®> <MP 35 MP 45 > | <Laroflex®> <MP 60 > </header>', 'label': [[35, 42, 'method'], [44, 53, 'method'], [60, 62, 'unclear_value'], [67, 69, 'unclear_value'], [74, 76, 'unclear_value'], [81, 83, 'unclear_value'], [84, 86, 'unclear_value'], [93, 95, 'unclear_value'], [96, 98, 'unclear_value']]}",K value
"{'data': '9 | Average Molecular Wt | About 27000 | Calculated by the Viscosity No. <header> <No.> | <Item> | <Index> | <Test method> </header>', 'label': []}",irrelevant
"{'data': '- Heating loss | Max 3.0 % weight | 1 B - 44 B.WC 160 - 1 A <header> <Requirements> | <Limits> | <Method> </header>', 'label': []}",irrelevant
"{'data': ' ( 25 ℃,DMA 0.05 % ,PT - 24 ( 6 % Co ) 0.4 % ,MEKPO ( 55 % ) 1.2 % ) | ( 25 ℃,DMA 0.05 % ,PT - 24 ( 6 % Co ) 0.4 % ,MEKPO ( 55 % ) 1.2 % ) <header> <SPECIFICATIONS> <Appearance> | <SPECIFICATIONS> <Yellowish liquid> </header>', 'label': []}",irrelevant
"{'data': '1 | Appearance | White powder | By visual <header> <No.> | <Item> | <Index> | <Test method> </header>', 'label': []}",irrelevant
"{'data': 'No. | Item | Index | Test method <header> <No.> | <Item> | <Index> | <Test method> </header>', 'label': []}",header
"{'data': 'Density | ca. 1.24 - - g/cm* @ 20 ℃', 'label': []}",irrelevant
"{'data': 'Viscosity ( 20 °C ) | | 60 mPa·s', 'label': [[12, 17, 'measuring_condition'], [24, 26, 'mean'], [27, 32, 'unit']]}",Viscosity
"{'data': '% Moisture ( Karl Fischer, W 1525 ) | <= 5.0 <header> <Appearance @ 25 deg C - White to creamy white powder> | <White to creamy white> </header>', 'label': []}",irrelevant
"{'data': 'Pile Density ( g/ml ) | > 0.6 <header> <Appearance> | <White powder> </header>', 'label': []}",irrelevant
"{'data': 'Regional Availability | • Africa & Middle East • Europe • Asia Pacific • North America | • South America', 'label': []}",irrelevant
"{'data': '8 | Solubility | Achromatous and transparent | Use MEK:Toluene ( 1 : 1 ) to confect 25 % solution <header> <No.> | <Item> | <Index> | <Test Method> </header>', 'label': []}",irrelevant
"{'data': 'DMA ( 10 % ) | | - | 0.5 | 0.5 | 0.3 <header> <Curing system> | <A> | <B> | <C> | <D> | <E> </header>', 'label': []}",irrelevant
"{'data': 'Specification data | Inspection Method | Value', 'label': []}",irrelevant
"{'data': 'Acid value ( solid ) | 8 - 15', 'label': []}",irrelevant
"{'data': 'viscosity of a 20 % solution in toluene at 23 °C ( 73 °F ) ( ISO 3219, DIN 53019 / 53214, shear rate D = 500 s– 1 ) | mPa. s | 12 – 18 | 12 – 18 | 20 – 26 | 30 – 40 40 – 50 | 30 – 40 40 – 50 | 30 – 40 40 – 50 | 30 – 40 40 – 50 | ≥ 50 <header> <Product specification> | <> | <Laroflex®> <MP 15 > | <Laroflex®> <MP 15 > | <Laroflex®> <MP 25 > | <Laroflex®> <MP 35 MP 45 > | <Laroflex®> <MP 35 MP 45 > | <Laroflex®> <MP 35 MP 45 > | <Laroflex®> <MP 35 MP 45 > | <Laroflex®> <MP 60 > </header>', 'label': [[15, 28, 'measuring_condition'], [40, 58, 'measuring_condition'], [71, 80, 'method'], [83, 88, 'method'], [118, 124, 'unit'], [127, 129, 'min'], [132, 134, 'max'], [137, 139, 'min'], [142, 144, 'max'], [147, 149, 'min'], [152, 154, 'max'], [157, 159, 'max'], [162, 164, 'max'], [165, 167, 'min'], [170, 172, 'max'], [175, 177, 'min'], [180, 182, 'max'], [183, 185, 'min'], [188, 190, 'max'], [193, 195, 'min'], [198, 200, 'max'], [201, 203, 'min'], [206, 208, 'max'], [211, 213, 'min'], [216, 218, 'max'], [219, 221, 'min'], [224, 226, 'max'], [231, 233, 'min']]}",Viscosity
"{'data': 'PROPERTY | TYPICAL RESULTS | TYPICAL RESULTS | TYPICAL RESULTS | TYPICAL RESULTS | TYPICAL RESULTS | TEST METHOD <header> <PROPERTY> <Univar Grade> | <TYPICAL RESULTS> <UYHB> | <TYPICAL RESULTS> <UYHD> | <TYPICAL RESULTS> <UYHH> | <TYPICAL RESULTS> <UYHI> | <TYPICAL RESULTS> <UYNS - 3 > | <TEST METHOD> <> </header>', 'label': []}",header
"{'data': '1 | Appearance | White or slight yellow powder | By visual <header> <No.> | <Item> | <Index> | <Test method> </header>', 'label': []}",irrelevant
"{'data': 'Viscosity 1 ) ( 20 % solids in MEK ) | DIN 53015 ( 20 °C ) | 38 - 52 mPa*s', 'label': [[16, 34, 'measuring_condition'], [39, 48, 'method'], [51, 56, 'measuring_condition'], [61, 63, 'min'], [66, 68, 'max'], [69, 74, 'unit']]}",Viscosity
"{'data': 'North fineness | STP 1434 | Hegman | 5.5 <header> <Properties> | <Method> | <Units> | <Value 1 ) > </header>', 'label': []}",irrelevant
"{'data': 'Physical', 'label': []}",irrelevant
"{'data': 'Density | 1.046 | g/ml <header> <Property ( 1 ) at 25 °C ( 77 °F ) > | <Value> | <Unit> </header>', 'label': []}",irrelevant
"{'data': '9 | Vinyl Alcohol | · 6 | · 6 <header> <No.> | <Item> | <Index> | <Test Method> </header>', 'label': [[22, 23, 'mean'], [28, 29, 'mean']]}",irrelevant
"{'data': 'Product specification | | MP 15 | MP 15 | MP 25 | MP 35 MP 45 | MP 35 MP 45 | MP 35 MP 45 | MP 35 MP 45 | MP 60 <header> <Product specification> | <> | <Laroflex®> <MP 15 > | <Laroflex®> <MP 15 > | <Laroflex®> <MP 25 > | <Laroflex®> <MP 35 MP 45 > | <Laroflex®> <MP 35 MP 45 > | <Laroflex®> <MP 35 MP 45 > | <Laroflex®> <MP 35 MP 45 > | <Laroflex®> <MP 60 > </header>', 'label': []}",irrelevant
"{'data': 'ppm Vinyl Pyrrolidone ( HPLC, W 1245 ) | <= 10.0', 'label': [[44, 48, 'mean']]}",irrelevant
"{'data': 'Relative Viscosity ( Cyclohexanone 1 % ) | 3.04', 'label': [[0, 8, 'measuring_condition'], [21, 38, 'measuring_condition'], [43, 47, 'mean']]}",Viscosity
"{'data': 'Received Hydroxy 1 Value mgkoh/g | 76 - 77 <header> <Item> | <DEC UMOH> </header>', 'label': []}",irrelevant
"{'data': '11 | Apparent density ( g/ml ) | ≥ 0.5 | GB 20022 - 2005 <header> <No.> | <Item> | <Index> | <Test method> </header>', 'label': []}",irrelevant
"{'data': 'Relative Viscosity 5 | 3.04 | | Internal Method <header> <Physical> | <Nominal Value> | <Unit> | <Test Method> </header>', 'label': [[0, 8, 'measuring_condition'], [23, 27, 'mean'], [32, 47, 'method']]}",Viscosity
"{'data': 'Vinyl Chloride % | 90 <header> <Item> | <DEC UMOH> </header>', 'label': [[15, 16, 'unit'], [19, 21, 'mean']]}",irrelevant
"{'data': 'Typical Resin Properties | Typical Resin Properties', 'label': []}",irrelevant
"{'data': '50 % 35 % 15 % xylene n - butylacetat Isobutanol ( schnell trocknende körperreiche Lacke )', 'label': [[15, 21, 'qualitative_value'], [22, 48, 'qualitative_value']]}",Solvent type
"{'data': 'No. | Item | Index | Test method <header> <No.> | <Item> | <Index> | <Test method> </header>', 'label': []}",header
