label,jsonl_data
Boiling point,"{'data': 'Boiling point at 101.3 kPa | °C | 88.5 | 126.5 | 117.0 <header> <Properties table of the pure product> | <Properties table of the pure product> | <Isopropyl Acetate> | <n - Butyl Acetate> | <Isobutyl Acetate> </header>', 'label': [[29, 31, 'unit'], [34, 38, 'mean'], [41, 46, 'mean'], [49, 54, 'mean'], [14, 26, 'measuring_condition']]}"
Acid content,"{'data': 'Acid Value ( mgKOH/g ) | Max 0.2 <header> <Test - > | <Specification> </header>', 'label': [[29, 32, 'max'], [13, 20, 'unit']]}"
header,"{'data': 'Property | Condition | Value | Test method <header> <Property> | <Condition> | <Value> | <Test method> </header>', 'label': []}"
Boiling point,"{'data': 'Dry Poin nt | | | 193 max <header> <Propert y> <Appeara ance> | <Unit ts> < - > | <Method> <EC A A 01 - - > | <S Specificatio n> <Bright & Clea ar> </header>', 'label': [[0, 3, 'measuring_condition'], [18, 21, 'max']]}"
Boiling point,"{'data': 'Sales Specification | Distillation, IBP °C ASTM D 1078 98.5 | | <header> <Data Sheet> | <CAS Registry Number : 78 - 92 - 2 Re - Issued: 15 - Jan - 2004 > | <CAS Registry Number : 78 - 92 - 2 Re - Issued: 15 - Jan - 2004 > | <CAS Registry Number : 78 - 92 - 2 Re - Issued: 15 - Jan - 2004 > </header>', 'label': [[36, 39, 'measuring_condition'], [40, 42, 'unit'], [43, 54, 'method'], [55, 59, 'mean']]}"
header,"{'data': 'Property | Typical Value, Units <header> <Property> | <Typical Value, Units> </header>', 'label': []}"
Flash point,"{'data': 'Flash point ( PMCC ) : | 54 °C', 'label': [[14, 18, 'measuring_condition'], [25, 27, 'mean'], [28, 30, 'unit']]}"
Boiling point,"{'data': 'Maximum Distillation Range, ℃ | 5 | 3 <header> <> | <SPECIFICATIONS> | <TYPICAL*> </header>', 'label': [[32, 33, 'max'], [28, 29, 'unit']]}"
Water Content,"{'data': 'Water content | 0.10 % max. | DIN 51777 - 1 <header> <Assay> | < 99.4 % min.> | <GC> </header>', 'label': [[16, 20, 'max'], [21, 22, 'unit'], [30, 43, 'method']]}"
Flash point,"{'data': 'Flash Point, ºF ( T.C.C. ) | 126 ( 52.2 ℃ )', 'label': [[13, 15, 'unit'], [18, 24, 'measuring_condition'], [29, 32, 'mean'], [35, 39, 'mean'], [40, 41, 'unit']]}"
Acid content,"{'data': 'Acidity as Acetic Acid | 0.005 wt % max. <header> <Property> | <Typical Value, Units> </header>', 'label': [[8, 22, 'measuring_condition'], [25, 30, 'max'], [31, 33, 'measuring_condition'], [34, 35, 'unit']]}"
Flash point,"{'data': 'Flash Point ( Setaflash Closed Cup | 126 °C ( 259 °F ) <header> <Property> | <Value> </header>', 'label': [[14, 34, 'measuring_condition'], [37, 40, 'mean'], [46, 49, 'mean'], [41, 43, 'unit'], [50, 52, 'unit']]}"
header,"{'data': 'Properties | Units | Limits | Test Methods | Test Methods | Test Methods <header> <Properties> | <Units> | <Limits> | <Test Methods> <ASTM> | <Test Methods> <ISO> | <Test Methods> <DIN EN> </header>', 'label': []}"
Water Content,"{'data': 'Water | ≤ 0.02 | % by mass | DIN EN 13267 <header> <Property> | <Value> | <Unit> | <Test method> </header>', 'label': [[10, 14, 'max'], [17, 18, 'unit'], [19, 26, 'measuring_condition'], [29, 41, 'method']]}"
header,"{'data': 'Sales Specification | Property Unit | Min | Max | Method <header> <Data Sheet> | <Issued: 19 - Oct - 2007 > | <> | <> | <> </header>', 'label': []}"
Boiling point,"{'data': 'Distillation, 95 % Point, ℃ ( ºF ) | BRCP 4330 | 176 ( 349 ) max. <header> <Properties> | <Test Methods> | <Sales Specifications> </header>', 'label': [[0, 18, 'measuring_condition'], [26, 27, 'unit'], [30, 32, 'unit'], [37, 46, 'method'], [49, 52, 'max'], [55, 58, 'max']]}"
header,"{'data': 'Item | Spec. <header> <Item> | <Spec.> </header>', 'label': []}"
Aromatic content,"{'data': 'Aromatic Content ( GC ) | > 99 | wt % | > 99 | wt % | ExxonMobil Method <header> <Properties> | <Typical Value> | < ( English ) > | <Typical Value> | < ( SI ) > | <Test Based On> </header>', 'label': [[19, 21, 'measuring_condition'], [28, 30, 'min'], [42, 44, 'min'], [33, 35, 'measuring_condition'], [47, 49, 'measuring_condition'], [36, 37, 'unit'], [50, 51, 'unit'], [54, 71, 'method']]}"
Aromatic content,"{'data': 'Aromatics | mg/kg | max. 500 <header> <PRODUCT SPECIFICATION:> <Test Item> | <PRODUCT SPECIFICATION:> <Unit> | <PRODUCT SPECIFICATION:> <Specification> </header>', 'label': [[12, 17, 'unit'], [25, 28, 'max']]}"
Flash point,"{'data': 'FLASH POINT : - ABEL | ℃ ( ºF ) | ISO 13736 | < - 35 ( < - 31 ) | < - 5 ( < 23 ) | - 30 ( - 22 ) | - 22 [ 8 ] | - 7 [ 18 ] | - 7 ( 18 ) | - 4.5 ( 24 ) <header> <TYPICAL VALUES PROPERTIES> | <UNITS> | <METHODS> | <SOLANE 60 - 95 > | <SOLANE 70 - 85 N> | <SOLANE 70 - 95 > | <SOLANE 80 - 110 > | <SOLANE 100 - 120 > | <SOLANE 100 - 140 > | <SOLANE 100 - 155 > </header>', 'label': [[16, 20, 'measuring_condition'], [23, 24, 'unit'], [27, 29, 'unit'], [34, 43, 'method'], [48, 52, 'max'], [57, 61, 'max'], [68, 71, 'max'], [76, 78, 'max'], [83, 87, 'mean'], [90, 94, 'mean'], [99, 103, 'mean'], [106, 107, 'mean'], [112, 115, 'mean'], [118, 120, 'mean'], [125, 128, 'mean'], [131, 133, 'mean'], [138, 143, 'mean'], [146, 148, 'mean']]}"
Boiling point,"{'data': 'Boiling point at 5 mbar [ C ] : | ca. 130', 'label': [[14, 23, 'measuring_condition'], [26, 27, 'unit'], [38, 41, 'mean']]}"
