text,label,jsonl_data
TLV PPM 1999 | 200 ,irrelevant,
Ethylbenzene | 17.0,irrelevant,
Analysis | Unit | Method | Specification | Specification ,header,
Color Pt-Co | 10 max. ,irrelevant,
(n-butyl acetate = 1) | 0.4 ,irrelevant,
"Aromaattipitoisuus Aromathalt Aromatic content | til-% vol.-% % v/v |  | 0,1 | 0,004 | UOP 495 ",irrelevant,
Colour | Apha | - | 10 | 5 | ASTM D1209 ,irrelevant,
Bromine index |  | - | < 20 | ASTM D 2710 ,irrelevant,
-40 |  | 0.9499 | 46.2 ,irrelevant,
"Specific Gravity, 20/20 o C | 0.7851",irrelevant,
"Color, Pt-Co (D-1209) | 100 max",irrelevant,
Date of Issue : | 16/11/2010,irrelevant,
Sales Specification | Property | Unit | Min | Max | Method ,header,
V.G.C. | DIN 51378 | - | 0.819 ,irrelevant,
"-10 | 0,002 ",irrelevant,
Specific Gravity @ 20°C/20°C | 1.03 ,irrelevant,
Non-Polar | 7.3 ,irrelevant,
Molar mass (C.H100) | 74.12 | g/mol |  ,irrelevant,
Critical Temperature | 298.2°C ,irrelevant,
"Viscosity at 20°C | mm2/s | ASTM D 445 | 2,00 | 2,70 ",irrelevant,
TYPICAL PROPERTIES | Unit,header,
Thermal Conductivity @20°C | W/m/°C | - | 0.13 ,irrelevant,
Hansen Solubility Parameters |,irrelevant,
Freezing point | <-103°F | <-75°C,irrelevant,
Surface tension (dynes/cm or mN/m @ 20°C) | 23 ,irrelevant,
MEASURES | UNITS | MEASURES METHODS | MINI | MAXI ,header,
EINECS Number | 204-626-7 | 204-626-7 |  |,irrelevant,
Total | 8.1 ,irrelevant,
Evaporation Rate (ether = 1) (n-butyl acetate = 1) | 20.2 0.6,irrelevant,
"Density at 20 °C | Density at 20 °C | Density at 20 °C | : 0,799 – 0,804 | kg/lt ",irrelevant,
Product Category | Ketones |  |  |,irrelevant,
Evaporation rate | ether = 1 | 160 | DIN 53170 ,irrelevant,
Tag Closed Cup | Tag Closed Cup | 71°C (160°F) ,Flash point,
APPEARANCE | Clear Liquid | UQS-3-DCA-NA-005 ,irrelevant,
"Residue on evaporation, max: |  | 0.01 | %wt | ASTM D1353 ",irrelevant,
Evaporation rate (n-butyl acetate = 1.0) | <0.01 ,irrelevant,
Non-Aromatics | % |  | 0.15 ,irrelevant,
"Solubility, g/L or % @ 25°C Solvent in water | 100% ",irrelevant,
Butyl diglycol | : min. 97.0 % ,irrelevant,
Specific Heat @20°C | kJ/kg/°C | - | 2.6 ,irrelevant,
PACKING | PACKING |,irrelevant,
"Colour, , Saybolt | ‐ | AST TM D 6045 | +30 ",irrelevant,
Acidity as Acetic Acid |  | 0.01 wt % max. ,Acid content,
CAS Number | 78-83-1 ,irrelevant,
Typical Properties | Cubic Expansion Coefficient @20°C | (10^-4)/°C | Calculated | 10 ,irrelevant,
"Color, Platinum-Cobalt Scale | BRCP 4273 | 15 max. ",irrelevant,
Analysis | Unit | Method | Min | Max ,header,
 | Hildebrand Solubility Parameter | (cal/cm³)^½ | - | 7.4 ,irrelevant,
Note 1: Superfund Amendments and Reauthorization Act of 1986 (SARA) Title III Section 313 | Note 1: Superfund Amendments and Reauthorization Act of 1986 (SARA) Title III Section 313,irrelevant,
 | @ 20°C | @ 25°C ,irrelevant,
Water Content (% by weight) | ≤0.3 | NOV 2 1 2005 ,Water Content,
Free acetic acid content | max. 30 | ppm ,Acid content,
Lower (measured @ 25°C) |  | 0.68,irrelevant,
Colour |  | +30 ,irrelevant,
Item | Index ,header,
Term | Hydrocarbon compound |  |,irrelevant,
Distillation range | min. 96 °C max. 98 °C,Boiling point,
BENCENE | PPM MASS | < 10 | < 20 | MA-IE-CR-018 | CG CAPILAR ,irrelevant,
Density @ 20°C | 0.938 kg/L ,irrelevant,
"Water : | max. 0,1 % vol",Water Content,
Wt % Water | 33 wt % ,Water Content,
Colour Saybolt |  | ASTM D 6045-09 | Min. +25 | 26 ,irrelevant,
Distillati on range | °C | ASTM D 86 6 |  ,Boiling point,
"% Purity (GC, as area includes Methyl Isomers, W710) - 1 | 99.5 Minimum ",Active %,
"- Water | 0.1 max. | % | DIN 51777, Part 1 ",Water Content,
• | Evaporation Rate (BuAc=100)………………………21,irrelevant,
Molecular Weight | 60.10,irrelevant,
"20°C 1,2,4-trimethylbenzene & 1,3,5-trimethylbenzene | % | 0.73% |  ",irrelevant,
General |  ,irrelevant,
Benzene | mg/kg | 0.8 max |  |  | GC ,irrelevant,
"Water in, @ 20°C | 1.6 wt % ",irrelevant,
Auto Ignition | °C | ASTM E659 | 390 ,irrelevant,
"Di-Isobutyl Adipate (%, w/w) | 10 – 25 | PFRTI001 ",irrelevant,
Color (D-156) | +28 min. | +30 ,irrelevant,
Azeotropes |  ,irrelevant,
 | Non Volatile Matter g/100mL | Non Volatile Matter g/100mL | 0.002 | ASTM D1353,irrelevant,
"Explosive limits in air, % by vol. |  | 1.6-10.9 | 1.6-10.9 ",irrelevant,
",%3 | $670 ' | & |  | ! | ! | ! | ! ",irrelevant,
"Pounds per Gallon, 20°C | 8.91 ",irrelevant,
CE | 202-509-5,irrelevant,
Acidity | No evidence of acidity,Acid content,
"in Water, @ 20°C | in Water, @ 20°C | 2 wt % ",irrelevant,
Specific Gravity @ 20'℃ | 0.794 | - 0.834,irrelevant,
MA-222 | Suspended matter | substantially free | substantially free ,irrelevant,
(n-butyl acetate = 1) | 0.03 ,irrelevant,
Hydroxyl Number | Mg KOH/g | 275 - 295 | BRCP 4586a – ISO 1843-5,irrelevant,
"Specific Gravity, 20º/20º C (D-268) | 0.921 - 0.923",irrelevant,
"Water | % WT | max. 0,1 ",Water Content,
"Color, Saybolt | +30 |  | ASTM D6045 ",irrelevant,
Received Molecular Weight | SG-CASCO 176.21,irrelevant,
Comments | NONE |  |  |  |  |  |  |  ,irrelevant,
Pensky-Martens Flash Point | °C | ASTM D 93 | 56 | 56 ,Flash point,
Approved by: | Title | Signature / Date ,irrelevant,
Acidity as Acetic Acid | ASTM D 1613-17 | ppm | 50 max ,Acid content,
"Antoine Constant B # | kPa, °C | - | 1753.00 ",irrelevant,
Explosion Limit: Lower | Explosion Limit: Lower | %v/v | - | 0.5,irrelevant,
Pb | 1 ppm max | -- | -- ,irrelevant,
Heat of Vaporization | 11060 cal/g·mol,irrelevant,
Benzene | mg/kg | < 1 ,irrelevant,
"Distillation range DP | °C | ≤ 78,0 | ASTM D1078 ",Boiling point,
Water Content | (98) | 0.1QMax. | 0. 031 ,Water Content,
C&FC 100030 | Water content | % w/w | - | max. 0.2 ,Water Content,
Autoignition temperature | 210 °C (410 °F) ,irrelevant,
Initial boiling point | °C | 82 |  ,Boiling point,
"Evaporation number (DIN 53 170, diethyl ether = 1) |  | 75 ",irrelevant,
