label,jsonl_data
Density,"{'data': 'Slurry Density, lb/gal | 19.4 | 19.4 | 15.6 <header> <DuPont™ Ti - Pure® TiO 2 for Coatings — Slurry Grades> | <Property> <R - 746 > | <Property> <R - 942 > | <Property> <R - 741 > </header>', 'label': [[0, 6, 'measuring_condition'], [16, 22, 'unit'], [25, 29, 'mean'], [32, 36, 'mean'], [39, 43, 'mean']]}"
pH,"{'data': 'pH | 7.5 | 7.5 |', 'label': [[5, 8, 'mean'], [11, 14, 'mean']]}"
Oil Absorption,"{'data': 'Oil Absorption | 19', 'label': [[17, 19, 'mean']]}"
Oil Absorption,"{'data': 'Oil Absorption | 15 *', 'label': [[17, 19, 'mean']]}"
Inorganic surface treatment,"{'data': 'Inorganic Surface Treatment | SiO 2, Al 2 O 3 <header> <Processing Method> | <Sulfate> </header>', 'label': []}"
stray,"{'data': '吸油量 ( g/ 100 g ) | ≤ 18.0', 'label': []}"
Inorganic surface treatment,"{'data': 'Amorphous Silica, wt % | 3.0 <header> <Table 1 Analysis and Physical Properties of Ti - Pure® R - 706 > <Property> | <Table 1 Analysis and Physical Properties of Ti - Pure® R - 706 > <R - 706 > </header>', 'label': [[18, 20, 'measuring_condition'], [21, 22, 'unit'], [25, 28, 'mean']]}"
TiO2 content,"{'data': 'Specification TiO 2 content | ( m/m ) | ≥ 93.0 % <header> <Specification TiO 2 content> | < ( m/m ) > | <≥ 93.0 % > </header>', 'label': [[32, 35, 'measuring_condition'], [42, 46, 'min'], [47, 48, 'unit']]}"
Oil Absorption,"{'data': 'Oil absorption | 18 g/ 100 g | ISO 787 - 5 <header> <TYPICAL PROPERTIES> <PARAMETER> | <TYPICAL PROPERTIES> <VALUE> | <TYPICAL PROPERTIES> <TEST METHOD> </header>', 'label': [[17, 19, 'mean'], [20, 28, 'unit'], [31, 42, 'method']]}"
Density,"{'data': 'Specific Gravity | 4.1', 'label': [[19, 22, 'mean']]}"
Oil Absorption,"{'data': 'Oil Absorption | 19 g/ 100 g', 'label': [[17, 19, 'mean'], [20, 28, 'unit']]}"
