text,label,jsonl_data
min | 93,irrelevant,
Bulk density (tamped) | 1.2g/cm3 | 150 787-11 ,Density,
 | • Bulk Density: • Particle Size* - Disc Centrifuge – mean diameter (Dn): - Light Scatter – calculated mean (OD): *Particle Size results are dependent upon the measurement representative for additional information. | technique. Please contact your local Tronox Technical Service 1.1 kg/l or 69 lbs/cu.ft. 0.22 µm 0.31 µm,multi,
"Received Loss on Ignition (L.O.I.), % | 2.20 ",irrelevant,
"Solids, wt% | 76.5 | 76.5 | 64.5 ",irrelevant,
ISO 591 classification | R2,irrelevant,
Australia | Belgium | Brazil | Kingdom of Saudi Arabia | USA ,irrelevant,
SPECIFIC GRAVITY | 3.80 | 3.80 | 3.80 ,Density,
"Inorganic coating | Alumina, Zirconia",irrelevant,
Resistivity ( ISO 787-14 ) | 150.02.m,irrelevant,
TiO2%（ISO 591-1） | 93% ,TiO2 content,
"SiO2, % | 1.50 ",Inorganic surface treatment,
Loss at 105°C . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | . 0.6 % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,irrelevant,
Properties: | • Specific gravity: 4.1 | 2nd Floor 04576-020 – São Paulo – SP - Brazil ,Density,
• Oil absorption: | 19g/100g,Oil Absorption,
TiO2% | 94 ,TiO2 content,
Bulk Density | g/l | 415 ± 30 ,Density,
siO2 | 9 max.,Inorganic surface treatment,
787-9 ) | 7.8,irrelevant,
L* | min 97.5 | ISO 7724-2.1 ,irrelevant,
Fax: +61.8.9411.1275 | Fax: +32.3.860.4801 | Fax: +55.11.3296.1501 | Fax: +966.2.606.9135 | Fax: +1.410.229.4415 ,irrelevant,
Phone: +61.8.9411.1222 | Phone: +32.2.774.2511 | Phone: +55.11.3296.1500 | Phone: +966.2.652.9966 | Phone: +1.410.229.4441 ,irrelevant,
Oil dispersible power(Hegemann Number) | Oil dispersible power(Hegemann Number) | Oil dispersible power(Hegemann Number) | Oil dispersible power(Hegemann Number) | ≥6.0 ,irrelevant,
"Received 2 Sep 2010 | (Composed of FeO 0.80%, Fe2O3 2.50%), %",irrelevant,
PH Aqueous Suspension | N/A | 6.0 -9.0 ,pH,
Volatiles at 105℃ ( ISO 787-2 ) | 0.3% ,irrelevant,
• pH (10% suspension): | 7.5,pH,
Packaging | 10 kg paper bags/ 300 kg pallet,irrelevant,
• | Oil absorption: | 21g/100g,Oil Absorption,
ISO 591 classification | R2,irrelevant,
Density (DIN EN ISO 787-10)* | 4.0 g/cm3,Density,
PRODUCT TREATMENT: |,irrelevant,
Product | Production | rutile pigment produced by the chloride process,Production Process,
7 | 电阻率 | 电阻率 | 电阻率 ,irrelevant,
Crystal size [μm] | 0.25,irrelevant,
"Amorphous Silica, wt% | — ",Inorganic surface treatment,
pH Value | 6.5 – 7.5,pH,
