id,data,label
29699,-- | -- | -- | --,irrelevant
29700,"Particle size | Measured with ""Laser Diffraction Technique"" | µm | approx. 0.18",Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29701,Minimum film forming temperature (MFFT) | DIN ISO 2115 | ˚C | 0,MFFT | MFT
29702,Glass transition temperature Tg | DIN 53 765; DSC; heating rate 10 K/min | ˚C | approx. 11,Tg
29703,Density | SS-ISO 1675 | g/cm3 | approx. 1.07,Density | Specific gravity
29704,"Film﹡Appearance |--| Slightly | opaque, soft, tough",irrelevant
29705,Film hardness |--| Ks | approx. 10,irrelevant
29706,-- | -- | -- | --,irrelevant
29707,Solids content | DIN ISO 1625; 2h; 105˚C | % | 54- 56,Solid content | Solids | NV | NVM | Non-volatiles
29708,Brookfield viscosity | DIN EN ISO 2555; spindle nr.3; | mPa.s | ,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29709,-- | 20 rpm; 25˚C; Brookfield | -- | 500-2000,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29710, | viscometer RVT |--| ,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29711,pH value | DIN ISO 976 |--| 4-5,pH
29712,-- | -- | -- | --,irrelevant
29713,"Particle size | Measured with ""Laser Diffraction Technique"" | µm | approx. 0.18",Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29714,Minimum film forming temperature (MFFT) | DIN ISO 2115 | ˚C | 0,MFFT | MFT
29715,Glass transition temperature (Tg) | DIN 53 765; DSC; heating rate 10 K/min | ˚C | approx. 11,Tg
29716,Density | SS-ISO 1675 | g/cm3 | approx. 1.07,Density | Specific gravity
29717,"Film﹡Appearance |--| Slightly opaque, | soft, tough",irrelevant
29718,Film hardness |--| Ks | approx. 10,irrelevant
29719,-- | -- | -- | --,irrelevant
29720,Solids content | DIN ISO 3251 2h; 105˚C | % | 55 – 57,Solid content | Solids | NV | NVM | Non-volatiles
29721,Brookfield viscosity | DIN EN ISO 2555; spindle nr.3; | mPa.s | ,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29722,"-- | 20 rpm; 25˚C; Brookfield viscometer RVT | -- | 1,000 – 4,000",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29723,pH value | DIN ISO 976 |--| 4 – 5,pH
29724,-- | -- | -- | --,irrelevant
29725,"Particle size | Measured with ""Laser Diffraction Technique"" | µm | approx. 0.18",Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29726,Minimum film forming temperature (MFFT) | DIN ISO 2115 | ˚C | 0,MFFT | MFT
29727,Glass transition temperature (Tg) | DIN 53 765; DSC; heating rate 10 K/min | ˚C | approx. 11,Tg
29728,Density | SS-ISO 1675 | g/cm3 | approx. 1.07,Density | Specific gravity
29729,"Film*Appearance |--| Slightly opaque, | soft, tough",irrelevant
29730,Film hardness |--| Ks | approx. 10,irrelevant
29731,-- | -- | -- | --,irrelevant
29732,Solids content | DIN ISO 3251 2h; 105˚C | % | 54 – 56,Solid content | Solids | NV | NVM | Non-volatiles
29733, | DIN EN ISO 2555; spindle nr.3; |--| ,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29734,Brookfield viscosity | 20 rpm; 25˚C; Brookfield viscometer RVT | mPa.s | 500 – 2000,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29735,pH value | DIN ISO 976 |--| 4 – 5,pH
29736,OTHER TYPICAL PROPERTIES | --,irrelevant
29737,"Particle Size, μm | 0.5",Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29738,"Minimum Film Forming Temperature, °C | 9",MFFT | MFT
29739,-- | --,irrelevant
29740,SG of Dispersion @ 25 ºC | 1.07,Density | Specific gravity
29741,SG of Polymer @ 25 ºC | 1.18,Density | Specific gravity
29742,SPECIFICATION | --,irrelevant
29743,"Total Solids Content, % | 55 ± 1",Solid content | Solids | NV | NVM | Non-volatiles
29744,pH | 4.5 – 5.0,pH
29745,"Viscosity @ 25 °C Brookfield #3/30, cps - | 1700 – 2300",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29746,-- | --,irrelevant
29747,-- | -- | -- | -- | --,irrelevant
29748,Minimum film forming temperature | -- | ISO 2115 | °C | 0,MFFT | MFT
29749,"Appearance of polymer film | -- | slightly turbid, somewhat sticky | -- | --",irrelevant
29750,-- | -- | -- | --,irrelevant
29751,Solids content (110 °C; 60 min) | ISO 3251 | % | 50 –52,Solid content | Solids | NV | NVM | Non-volatiles
